Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(5),J_total_Mn
7.45,0.026578563739556253,0.005953407057503434,0.027555419824684346,0.002486652845817068,0.0037060737147272737,0.00013841221208987605,0.001522428879941848,0.2654951773461122
7.5,0.026485328395670815,0.00579465244946319,0.02718233018201151,0.0023927370608335047,0.003677286367589264,0.00013310565883695586,0.001468755252528404,0.26211312268985565
7.550000000000001,0.02639192177724254,0.0056423312290226875,0.026812712074147264,0.0023022388344824834,0.0036478761433076804,0.00012798911186247922,0.0014171049000498413,0.25877801571019926
7.6000000000000005,0.02629835005477446,0.005496246587061549,0.026446590029143777,0.002215070701086903,0.003617878473497397,0.00012305793210593853,0.001367397401432124,0.2554892485730653
7.65,0.026204619367602,0.005356205473072028,0.026083986198637003,0.002131145400468801,0.003587328547092128,0.00011830746698335444,0.0013195556652772962,0.25224622221701365
7.7,0.026110735823315388,0.0052220186124964105,0.02572492042003151,0.0020503760394979128,0.0035562612161030138,0.00011373306142419359,0.001273505787709773,0.24904834582882382
7.75,0.026016705497194134,0.005093500518588524,0.025369410278715553,0.0019726762400887883,0.0035247109117582157,0.00010933006801639959,0.0012291769164282976,0.24589503637275978
7.800000000000001,0.025922534431653533,0.004970469499076051,0.025017471170213773,0.0018979602743712115,0.003492711570236652,0.0001050938563071382,0.0011865011206890822,0.2427857181689638
7.8500000000000005,0.025828228635703217,0.00485274765789343,0.024669116362190234,0.0018261431877365907,0.003460296567259117,0.00010101982130542419,0.0011454132669577327,0.23971982251676208
7.9,0.02573379408441771,0.004740160892247938,0.024324357056219385,0.0017571409104400566,0.0034274986608473904,9.710339123129916e-05,0.0011058508999791184,0.23669678735897026
7.95,0.025639236718418994,0.004632538885274521,0.02398320244924783,0.0016908703584145584,0.003394349941606678,9.334003455469092e-05,0.001067754129025462,0.23371605698357986
8.0,0.02554456244337104,0.0045297150945275595,0.02364565979467438,0.0016272495239293004,0.0033608817899289187,8.972526636550955e-05,0.0010310655190935258,0.23077708175947426
8.05,0.02544977712948632,0.004431526736550564,0.023311734462980738,0.0015661975567007695,0.0033271248395542875,8.62546541149455e-05,0.0009957299868319572,0.22787931790307514
8.1,0.02535488661104422,0.004337814767757444,0.022981430001849594,0.0015076348360404106,0.003293108946965749,8.292382276633715e-05,0.0009616947009895845,0.2250222272730568
8.15,0.025259896685921348,0.0042484238618516615,0.022654748195711366,0.001451483034598853,0.003258863166126817,7.972845939237725e-05,0.0009289089871847556,0.22220527719048136
8.200000000000001,0.025164813115133768,0.004163202384002352,0.022331689124665207,0.001397665174242706,0.0032244157281059813,7.666431725384651e-05,0.0008973242368047537,0.21942794028191626
8.25,0.025069641622391007,0.004082002361989095,0.022012251222723735,0.0013461056745761903,0.003189794025162501,7.372721939349004e-05,0.0008668938198527957,0.21668969434328092
8.3,0.02497438789366188,0.004004679454519866,0.021696431335335088,0.0012967303945966328,0.0031550245988977254,7.091306177711286e-05,0.0008375730015682976,0.21399002222234936
8.35,0.024879057576752114,0.003931092916919515,0.021384224776139868,0.0012494666679499832,0.003120133132103757,6.821781601245578e-05,0.0008093188626538755,0.21132841171799924
8.4,0.024783656280893625,0.0038611055643789118,0.021075625382923683,0.0012042433322300827,0.003085144443967209,6.563753167492793e-05,0.0007820902229499535,0.20870435549445024
8.450000000000001,0.024688189576345547,0.0037945837329479894,0.020770625572730204,0.0011609907527436894,0.0030500824883102507,6.316833826783374e-05,0.0007558475684050163,0.20611735100887793
8.5,0.024592662994006836,0.0037313972384488336,0.02046921639610239,0.0011196408411419387,0.0030149703545739566,6.080644684332106e-05,0.0007305529811962802,0.20356690045092135
