Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(8),J_4s(2),J_total_Ni
6.95,0.025701464942837992,0.011767824530538606,0.03417361226039373,0.006007567983889925,0.003763191714408918,0.0043402004369649545,0.00030538019069541433,0.3499069026404595
7.0,0.02563273409682585,0.011446605012920623,0.033831511954335466,0.0058392464088236305,0.003761839459883741,0.004201758757333686,0.0002969794217888456,0.34560530842470266
7.050000000000001,0.025563765075690203,0.011134145127451282,0.03349046006909101,0.0056741327977874595,0.0037600118766567578,0.004067944254870514,0.0002887221665426896,0.341367916048394
7.1000000000000005,0.025494562100297755,0.010830287543185423,0.03315052193614499,0.005512257852334016,0.003757656919979375,0.003938597205872388,0.0002806113899181973,0.33719328855519615
7.15,0.025425129384929142,0.01053487493346788,0.032811761106724444,0.005353645612808109,0.0037547291605968696,0.0038135634968603682,0.000272649640654605,0.3330800487225303
7.2,0.025355471136837546,0.010247750109366668,0.032474239350738315,0.005198313821476032,0.003751189314685639,0.003692694428193272,0.0002648390726129242,0.3290268756986762
7.25,0.025285591555812306,0.009968756147391088,0.0321380166576411,0.00504627427687969,0.0037470037999415163,0.003575846524232154,0.0002571814657022276,0.3250325018309236
7.300000000000001,0.02521549483374757,0.009697736511589172,0.03180315123914187,0.004897533178859492,0.0037421443166415387,0.0034628813498753467,0.00024967824633965845,0.32109570967477497
7.3500000000000005,0.025145185154216012,0.009434535170122932,0.03146969953368044,0.004752091463792087,0.003736587452537143,0.003353665333284796,0.00024233050740344317,0.3172153291746527
7.4,0.02507466669204762,0.009178996706423517,0.03113771621259295,0.0046099451296813905,0.0037303143104729123,0.0032480695946258283,0.0002351390276454337,0.31339023500699764
7.45,0.025003943612913585,0.008930966425031833,0.03080725418788998,0.004471085550824845,0.0037233101576614595,0.0031459697806444043,0.00022810429053621864,0.30961934407707675
7.5,0.024933020072915316,0.008690290452232916,0.03047836462157115,0.004335499781851829,0.0037155640955816283,0.003047245904908049,0.0002212265025216686,0.30590161316122455
7.550000000000001,0.02486190021817857,0.00845681583159502,0.03015109693640113,0.004203170850998552,0.0037070687495037264,0.002951782193539186,0.00021450561067499506,0.3022360366866369
