Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(2),J_3d(1),J_total_scandium
3.2,0.03879438697118638,0.036414086548706454,0.013007387184443478,0.07114151767079219,0.009133951610383361,0.01866429587723998,0.0011939543519854036,0.07758877394237276,0.07282817309741291,0.4268491060247531,0.026014774368886957,0.054803709662300165,0.002387908703970807,0.01866429587723998,0.6791367416769367
3.25,0.03870347358275458,0.0356122048800966,0.012992471871006104,0.07055027864345381,0.00852386141877987,0.017628453275581983,0.0011889202914672932,0.07740694716550917,0.0712244097601932,0.4233016718607229,0.02598494374201221,0.05114316851267922,0.0023778405829345864,0.017628453275581983,0.6690674348996332
3.3000000000000003,0.03861145283434178,0.034815802825587196,0.012967809988453755,0.06994922364992318,0.007984160469096085,0.016653245541533825,0.0011823149594559633,0.07722290566868356,0.06963160565117439,0.41969534189953905,0.02593561997690751,0.04790496281457651,0.0023646299189119266,0.016653245541533825,0.6594083114713267
3.35,0.03851833747728215,0.0340253878208967,0.012931818074168586,0.0693387670824244,0.007508259428338214,0.015734989360212948,0.0011740872513543545,0.0770366749545643,0.0680507756417934,0.4160326024945464,0.02586363614833717,0.04504955657002928,0.002348174502708709,0.015734989360212948,0.6501164096721923
3.4000000000000004,0.03842414035804962,0.03324144974312358,0.012883343559885588,0.06871933139588793,0.007090051194864942,0.014870227950912062,0.0011642265071725687,0.07684828071609924,0.06648289948624717,0.41231598837532757,0.025766687119771176,0.04254030716918965,0.0023284530143451374,0.014870227950912062,0.6411528438318921
3.45,0.0383288744139462,0.032464460299743626,0.01282160599199068,0.06809134593874788,0.006723887436270206,0.01405571763141716,0.001152754754322699,0.0766577488278924,0.06492892059948725,0.4085480756324873,0.02564321198398136,0.04034332461762124,0.002305509508645398,0.01405571763141716,0.632482508801532
3.5,0.03823255266885757,0.031694872484410275,0.012746144122696982,0.06745524580771856,0.006404554708292862,0.013288415055673172,0.0011397200619936538,0.07646510533771514,0.06338974496882055,0.40473147484631133,0.025492288245393964,0.03842732824975717,0.0022794401239873076,0.013288415055673172,0.6240737968276585
3.5500000000000003,0.03813518822907728,0.03093312009976326,0.012656768462863408,0.06681147072985485,0.006127250474137897,0.01256546511389959,0.0011251908691780979,0.07627037645815456,0.06186624019952652,0.40086882437912913,0.025313536925726816,0.036763502844827385,0.0022503817383561957,0.01256546511389959,0.6158983276596202
3.6,0.03803679427920026,0.03017961734706153,0.012553518890000837,0.06616046397488402,0.005887559287020769,0.011884189479536495,0.0011092511635462684,0.07607358855840052,0.06035923469412306,0.39696278384930417,0.025107037780001673,0.03532535572212461,0.002218502327092537,0.011884189479536495,0.6079306924105831
3.6500000000000004,0.03793738407808546,0.029434758482094155,0.012436626913722442,0.06550267130048092,0.005681429349381724,0.01124207578392659,0.0010919964021625598,0.07587476815617092,0.05886951696418831,0.39301602780288547,0.024873253827444885,0.034088576096290346,0.0021839928043251196,0.01124207578392659,0.6001482114352316
3.7,0.0378369709548872,0.028698917536488306,0.012306482214069025,0.06483853993284948,0.005505149619397,0.010636767397155402,0.0010735300775518467,0.0756739419097744,0.05739783507297661,0.38903123959709685,0.02461296442813805,0.033030897716382,0.0021470601551036935,0.010636767397155402,0.5925307062766271
