Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_5d3/2(1),J_6s1/2(2),J_total_Ce_relativistic
0.7000000000000001,0.013745559083264882,0.04885262086756712,0.0242448092892622,0.025717416541338012,0.10867195802885768,0.06600304112388981,0.06870385599097614,0.04524549722085115,0.04585850144517993,0.20696350254869836,0.15179440481977502,0.1579071084210665,0.12637135669834365,0.1280181483359261,0.1280181483359261,0.2622782973672853,0.3323809423827558,0.33794475050186124,0.33256490015583196,0.066488947795622,7.131256976090608
0.75,0.01374472073816956,0.048817728587460564,0.02424477324916334,0.025717370241980755,0.10820426634564473,0.06599856515851747,0.06869840314665039,0.045245472504638604,0.04585847462621949,0.20260838907869835,0.15151424756326118,0.15756764027715794,0.1263467936692861,0.12799136165413413,0.12799136165413413,0.23417943934877117,0.31696772490539293,0.31997692576328035,0.3035098173343731,0.0653199485393191,6.928778694491464
0.8,0.013743824655041112,0.048780460442675595,0.024244729277380625,0.025717313754382392,0.10770667642925945,0.06599312123649508,0.06869177310308823,0.045245438212037914,0.045858437419771025,0.1980608779047941,0.1511790727571724,0.15716220476721177,0.1263136093821628,0.12795520330802856,0.12795520330802856,0.20791204782195136,0.3004678331655214,0.30098249437765073,0.27574310628728343,0.06283688246522627,6.721353140196036
0.8500000000000001,0.013742870849643086,0.04874082250069737,0.024244676293347246,0.02571724569162505,0.10717964623036981,0.06598658352019075,0.06868381352566734,0.04524539161645354,0.04585838687018547,0.1933396353871351,0.1507835465412991,0.15668463877826458,0.126269773707051,0.12790748072725394,0.12790748072725394,0.18368397560242478,0.28312965276417723,0.2812780295137817,0.24951533781165608,0.05912895658089173,6.511561976254994
0.9,0.013741859338752662,0.048698821210049446,0.024244613149563995,0.025717164581200807,0.10662365903416929,0.0659788199436017,0.06867436472662124,0.045245329464157526,0.0458583194511806,0.18846367842444786,0.15032249415545632,0.15612902723442715,0.12621301592441972,0.1278457468240508,0.1278457468240508,0.16162897198036874,0.26521433681684603,0.2611828608155474,0.22497105791668198,0.05450196539019386,6.302203027044876
0.9500000000000001,0.013740790140160023,0.048654463398359805,0.024244538632114877,0.025717068865731805,0.10603922270822633,0.06596969254511623,0.06866326009853943,0.04524524791708026,0.04585823100416482,0.18345225043259666,0.1497909633671214,0.1554897809377508,0.1261408366430641,0.12776731437732258,0.12776731437732258,0.14181252912988332,0.2469840903660245,0.24100527307052513,0.20217584229269636,0.04931564824617619,6.095925490445526
1.0,0.013739663272667686,0.048607756270315175,0.024244451461212197,0.025716956903731263,0.1054268689157119,0.06595905781413072,0.06865032656526056,0.04524514249459049,0.04585811667553674,0.17832469912836457,0.14918428419958385,0.1547617088032096,0.12605052566409533,0.1276692768557619,0.1276692768557619,0.12423937835534056,0.22869205712319343,0.22103145380140685,0.18113821299809488,0.04390188556057642,5.895039169100049
1.05,0.013738478756089793,0.04855870740550462,0.02424435029177078,0.02571682697040498,0.1047871522957972,0.0659467670505065,0.06863538504874135,0.04524500801463394,0.045857970853366875,0.1731003571817563,0.14849812426697595,0.15394008361862332,0.12593918541613291,0.1275485352163286,0.1275485352163286,0.10886203940227177,0.21057413104011663,0.2015173524756067,0.1618266162389505,0.03853065322154458,5.701431868884523
1.1,0.013737236611251369,0.048507324756153394,0.02424423371401103,0.02571667725849281,0.10412064961307693,0.06593266673582004,0.06861825095044334,0.04524483853460424,0.04585778710387219,0.1677984267308756,0.14772853911390413,0.153020700599753,0.12580375942303734,0.1274018300370161,0.1274018300370161,0.09558988004318233,0.19284280734431336,0.1826833562647269,0.14418219606501573,0.03340209343828206,5.516551184189914
1.1500000000000001,0.013735936859987533,0.048453616644748114,0.0242441002540905,0.025716505879149584,0.10342795887793145,0.06591659891533286,0.06859873464574448,0.045244627292321725,0.04585755810809611,0.16243786867419205,0.14687201705495118,0.1519999281569276,0.1256410651285463,0.1272257781972689,0.1272257781972689,0.08429821862467807,0.17568302339602931,0.16471150837213003,0.12812821842247596,0.02865150101458179,5.34142299407069
1.2000000000000002,0.013734579525142687,0.048397591761554414,0.02424394837476354,0.025716310862864952,0.10270969843979288,0.0658984015895837,0.0685766419898536,0.04524436664749579,0.04585727559920556,0.15703729756741447,0.14592551811087254,0.1508747504389918,0.12544783029520337,0.1270169132088076,0.1270169132088076,0.0748370893281096,0.15924982176732708,0.1477448882778157,0.11357693068176457,0.024359653227953075,5.176689690886978
1.25,0.013733164630569648,0.04833925916202812,0.024243776476068755,0.025716090160421586,0.1019665060553262,0.06587790911448636,0.06855177483368277,0.045244048024043595,0.04585693030081377,0.15161488285791988,0.1448865067417079,0.14964280136982838,0.12522073211963045,0.12677172822537833,0.12677172822537833,0.06703938014078137,0.14366759336184382,0.13188872645685984,0.10043450622530332,0.020564419295186605,5.022657885018672
1.3,0.013731692201128758,0.048278628264121305,0.02424358289604379,0.02571584164389114,0.10119903793357592,0.06585495260880092,0.06852393154811527,0.04524366185363388,0.04585651186673144,0.14618825709046024,0.14375297818020816,0.14830239003913892,0.12495643816268391,0.12648672072182626,0.12648672072182626,0.06072814038413402,0.12903062084359784,0.11721282470846656,0.08860458124867374,0.017271656948428728,4.879349421307009
1.35,0.013730162262686951,0.04821570884548434,0.02424336591146712,0.025715563107667375,0.10040796776016292,0.06582936036783472,0.06849290755509552,0.04524319752081748,0.045856008822541434,0.14077443161539685,0.14252347827000178,0.14685251744977873,0.12465164818024395,0.12615843782918945,0.12615843782918945,0.055722933428233694,0.1154046342680353,0.103754883053388,0.07799076573895265,0.014464566532326128,4.746552002780902
1.4000000000000001,0.013728574842116778,0.048150511040565294,0.024243123738626342,0.025715252269535797,0.099593985702643,0.0658009582822223,0.06845849586396242,0.04524264331009761,0.045855408509381336,0.13538972022665466,0.14119711681003666,0.1452928847562829,0.12430313595611915,0.12578352134031426,0.12578352134031426,0.05184517803814085,0.10282910360905735,0.09152438292040121,0.06849840997474091,0.012111289134148329,4.623867204915143
1.4500000000000002,0.013726929967295399,0.04808304533760808,0.024242854534112644,0.025714906771779202,0.09875779739916019,0.06576957026062981,0.06842048761144773,0.045241986355282336,0.04585469703030613,0.1300496710525464,0.13977357449847355,0.14362389325120062,0.12390779027972836,0.1253587514559634,0.1253587514559634,0.04892247726062438,0.0913200195861818,0.08050673423900798,0.06003583080678893,0.010170836092951486,4.510754584482731
1.5,0.013725227667103537,0.0480133225755506,0.024242556395640887,0.025714524182318406,0.09790012293254284,0.06573501865523046,0.06837867260376736,0.04524121259144872,0.0458538591995886,0.12476900692008559,0.1382531036540415,0.1418466364657818,0.12346265427414356,0.1248810884200358,0.1248810884200358,0.046791976679917496,0.08087294874511014,0.07066745385656001,0.05251514484128672,0.008597563836275971,4.406571177944461
