Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(1),J_total_Cs_relativistic
3.1,0.014501868229948601,0.047037201940465186,0.02584447569474297,0.02723014587663806,0.06311618319795054,0.06557644416549047,0.0672673790114011,0.048451187464319236,0.049023394247211555,0.02517338660370958,0.05179275515483332,0.0478999344524812,0.07297734372260867,0.07205891308467616,0.01146122271361933,0.012711133898909046,0.01180856870273768,0.0008539481994245001,2.4643153723108324
3.1500000000000004,0.014497591463031267,0.046874820654022105,0.025840846539693787,0.027225637077376685,0.06183841854505392,0.0652720646884054,0.06691671983646542,0.04841671957341901,0.048986690846224284,0.024679767652434927,0.04935170689758512,0.04548762184052735,0.07064293829841933,0.06969047081460998,0.010600132841252023,0.012330999235645485,0.011379573336088014,0.0007869017626824454,2.415699408611119
3.2,0.014493248063578438,0.04671047590716857,0.025837052481140887,0.02722092457215457,0.06056942200723882,0.06495840995520992,0.06655580257826255,0.04838014257004222,0.04894775519973435,0.024259213799080123,0.04699427139041061,0.04317100074411136,0.06833719482948454,0.06735420369534709,0.009807901471831386,0.011937187832118624,0.010943694820637515,0.0007247710868080392,2.368105930731622
3.25,0.014488838116112356,0.046544195116071115,0.025833089166572204,0.027216003075245878,0.05930990236196274,0.06463551470160214,0.06618469713289866,0.048341384679575966,0.04890651262135749,0.023904648390703758,0.04472151819430019,0.04095032963677028,0.06606306417880321,0.06505300022741768,0.009082343343422486,0.01153263090185779,0.010503846730678891,0.0006674731687151114,2.321567212582467
3.3000000000000003,0.014484361706409127,0.04637600592196546,0.02582895222824574,0.027210867288259433,0.058060542770152886,0.06430342496565557,0.06580348654882927,0.04830037479080962,0.048862889226766515,0.023609275166146106,0.04253415783540401,0.03882549282931301,0.06382325604291998,0.06278949514453677,0.008420892222865448,0.011120146343142004,0.010062735804645664,0.0006148836679849186,2.2761095614348856
3.35,0.014479818921495182,0.046205936182936225,0.025824637285220185,0.027205511902778437,0.056822000446509514,0.06396219794755179,0.06541226679110762,0.048257042603877864,0.04881681209039886,0.023366594058449822,0.040432560706356965,0.03679602600513492,0.06162024165602281,0.06056607354429204,0.007820682009453746,0.010702408336711747,0.009622848033806872,0.0005668443764290731,2.2317535779448594
3.4000000000000004,0.014475209849643685,0.04603401396567202,0.025820139945384662,0.02719993160299535,0.05559490638244342,0.063611901846894,0.06501114647961195,0.04821131877624759,0.048768209399726044,0.023170413641941782,0.03841677674122783,0.034861142064318236,0.05945625782762878,0.05838487631000957,0.007278619897862046,0.010281925184957385,0.009186441297022764,0.0005231700370134417,2.1885144513987793
3.45,0.014470534580370882,0.04586026753719975,0.025815455807486513,0.027194121068340488,0.054379865120759624,0.06325261567854955,0.06460024660261585,0.04816313506627936,0.0487170106065878,0.023014860445686933,0.036486555640239796,0.03301975703620227,0.05733331214227043,0.056247806642932066,0.006791451709683956,0.009861024120021895,0.008755543341392147,0.0004836545003262684,2.1464022803058453
3.5,0.014465793204432418,0.045684725356601646,0.025810580463156048,0.027188074976102764,0.05317745458109748,0.06288442906800638,0.06417970020710298,0.04811242447391448,0.04866314657511744,0.022894385359866754,0.03464136743794935,0.03127051584493615,0.0552531891583839,0.054156537534482636,0.006355819639670661,0.00944184194874423,0.008331954064023872,0.00044807622337411223,2.1054224098978813
3.5500000000000003,0.014460985813819596,0.045507416066718716,0.025805509498927147,0.027181788004041176,0.05198822593504242,0.06250744202726136,0.06374965206725795,0.04805912137806034,0.04860654972580967,0.022803767363661062,0.03288042322637882,0.029611817736853025,0.05321745745321215,0.05211252001967918,0.005968312764066326,0.009026320533718078,0.00791725119168556,0.0004162031289407538,2.065575779385502
