Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_total_Krypton_relativistic_ready
1.3,0.038092535502710564,0.16665864875799946,0.06389277422387228,0.12778554844774456,0.07464872383410068,0.2633746067690204,0.5267492135380408,0.3999480599502637,0.5999220899253956,0.16272121756907493,0.1864815741540799,0.3729631483081598,2.9832381409804634
1.35,0.03808219656382979,0.16601731462354022,0.06388582007909052,0.12777164015818104,0.07279391745910083,0.2618636695876908,0.5237273391753816,0.3993944686704816,0.5990917030057225,0.15878396551273474,0.1624487528957963,0.3248975057915926,2.8987582935231426
1.4000000000000001,0.03807147062198657,0.1653519037373531,0.06387808652660587,0.12775617305321174,0.0709355067732804,0.26022763288389206,0.5204552657677841,0.39876327906305264,0.598144918594579,0.15418292956046642,0.14111672710258968,0.28223345420517937,2.821117347889981
1.4500000000000002,0.03806035812366896,0.16466260291912949,0.06386952164309434,0.12773904328618868,0.0690783282845801,0.25846477374852217,0.5169295474970443,0.3980490841391126,0.5970736262086689,0.14898382125319473,0.12229092108606225,0.2445818421721245,2.749783470361391
1.5,0.03804885953476198,0.1639496285600165,0.06386007255120772,0.12772014510241544,0.06722701695713444,0.2565739724418017,0.5131479448836034,0.39724670007636625,0.5958700501145494,0.1432676133287498,0.10576939696016911,0.21153879392033823,2.684220194431114
1.55,0.038036975339852855,0.1632132265244589,0.06384968550568239,0.12769937101136478,0.06538598915373946,0.2545547142736461,0.5091094285472922,0.39635121572648097,0.5945268235897214,0.13712475680583183,0.09134909906280811,0.18269819812561622,2.6238994836664955
1.6,0.038024706041590355,0.16245367177512232,0.0638383059804103,0.1276766119608206,0.06355942785017593,0.25240708602697465,0.5048141720539493,0.39535803745076675,0.5930370561761501,0.13065012845051127,0.07883062065985032,0.15766124131970063,2.5683110657460224
1.6500000000000001,0.03801205216009995,0.161671267744996,0.06382587875622293,0.12765175751244587,0.06175127011341278,0.2501317672627887,0.5002635345255774,0.3942629288865575,0.5913943933298362,0.12393879432570745,0.06802172642640646,0.1360434528528129,2.5169688238968644
1.7000000000000002,0.03799901423245487,0.16086634548301684,0.06381234800913953,0.12762469601827905,0.059965196826824725,0.24773001688208068,0.49546003376416137,0.39306204537975825,0.5895930680696374,0.11708260891552139,0.058739845525242695,0.11747969105048539,2.469414910156602
1.75,0.037985592812201784,0.16003926260095186,0.06379765739883675,0.1275953147976735,0.05820462463556977,0.24520365534741256,0.4904073106948251,0.3917519629397194,0.5876279444095791,0.11016762006909998,0.050813726907868895,0.10162745381573779,2.4252221264294764
1.8,0.03797178846893898,0.15919040204991988,0.06378175015710551,0.12756350031421101,0.05647270007385049,0.24255504298693742,0.48511008597387484,0.3903297016799154,0.585494552519873,0.1032722158828628,0.044084424048187375,0.08816884809637475,2.383995012252052
1.85,0.03795760178794412,0.15832017075492003,0.06376456917607304,0.12752913835214608,0.05477229582295072,0.23978705481637078,0.47957410963274155,0.3887927438015082,0.5831891157022623,0.09646592833021271,0.038405752549930866,0.07681150509986173,2.3453699858269217
1.9000000000000001,0.03794303336984821,0.15742899813515546,0.06374605709598168,0.12749211419196335,0.05310600903497907,0.23690305232059797,0.47380610464119594,0.38713904625697676,0.5807085693854651,0.08980879751639627,0.033644341927521464,0.06728868385504293,2.309014807731124
1.9500000000000002,0.037928083830352004,0.1565173345368879,0.06372615639233042,0.12745231278466085,0.05147616164261895,0.23390685263688532,0.46781370527377064,0.385367048298152,0.578050572447228,0.0833511975321505,0.02967938279866091,0.05935876559732182,2.2746275737710193
2.0,0.03791275379998122,0.15558564960411753,0.06370480946220035,0.1274096189244007,0.04988480256042314,0.23080269557667824,0.46160539115335647,0.3834756741680375,0.5752135112520562,0.0771340278723352,0.026402152899031316,0.05280430579806263,2.2419353930706802
2.0500000000000003,0.03789704392387646,0.1546344306106367,0.0636819587095997,0.1273639174191994,0.04833371166886776,0.2275952089133381,0.4551904178266762,0.38146433123966145,0.5721964968594921,0.07118918143344209,0.023715389722942466,0.04743077944588493,2.2106928677736177
2.1,0.03788095486161421,0.15366418077503377,0.06365754662967879,0.12731509325935758,0.04682440545903332,0.22428937234948604,0.4485787446989721,0.37933290393890773,0.5689993559083616,0.06554020967948014,0.021532564108137017,0.043065128216274035,2.180680459884336
2.15,0.03786448728705514,0.15267541757809444,0.06363151589167855,0.1272630317833571,0.04535814420388302,0.2208904805604519,0.4417809611209038,0.3770817438128291,0.5656226157192437,0.0602031164515337,0.019777097571401565,0.03955419514280313,2.151702807123235
2.2,0.0378476418882162,0.15166867109983084,0.06360380942048878,0.12720761884097756,0.04393594051204899,0.2174041056902185,0.434808211380437,0.3747116561213332,0.5620674841819998,0.055187223160831335,0.01838155649379086,0.03676311298758172,2.1235870317777548
