Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_5s1/2(1),J_total_Nb_relativistic
4.15,0.03947918991361579,0.10176391888840712,0.07211905774897599,0.14808346169948994,0.03909178500388457,0.10291592519544251,0.20098034531207978,0.2409101406026617,0.3618940179668944,0.02578970659256855,0.019423114861272774,0.03919199529142848,0.008273660799746098,0.0011585186102186648,1.4010748384866862
4.2,0.03944997262370293,0.10085977503946493,0.07203944891925859,0.14790593415074169,0.03773245755776282,0.10044678628771629,0.19591538304099507,0.23844285239968713,0.35811756460318955,0.02459843524943032,0.01933111901165654,0.03893470505651699,0.008143142302047907,0.001106759199545283,1.383024335441716
4.25,0.03942043566949853,0.09995385145182276,0.0719576219083906,0.14772352197717956,0.03645339888606036,0.0980029883580136,0.19091047900954158,0.23595460685435538,0.35431056922382886,0.02344291143387742,0.019222839422386756,0.03864259381017947,0.008034926956158333,0.001056146767786428,1.36508689172908
4.3,0.03939058009051321,0.09904636979930526,0.0718735572303443,0.14753618563707704,0.03525166485298622,0.09558599116894993,0.18596847371330613,0.23344718131059858,0.3504757652231259,0.022324471779846606,0.019098160554618503,0.03831618562874621,0.007946103999603181,0.0010067948697379241,1.3472674858587588
4.3500000000000005,0.039360406936224106,0.09813754966719372,0.07178723626552995,0.14734388759856396,0.034124317155321056,0.09319716785563949,0.18109201554356952,0.23092233917733535,0.34661586113942455,0.021244170380202987,0.018957163744495537,0.03795632681753812,0.007874046749770077,0.0009588000256407021,1.3295712890564488
4.4,0.03932991726599785,0.09722760847365662,0.07169864127191591,0.14714659236170255,0.033068430487851484,0.09083780527093313,0.17628356262516373,0.2283818264787077,0.3427335354715054,0.020202798432077278,0.018800099139924243,0.03756413335017702,0.00781638874920938,0.0009122427324320967,1.3120035821112543
4.45,0.03929911214901298,0.09631676139372679,0.07160775539529021,0.14694426647854228,0.03208109922391319,0.08850910458207215,0.17154538516383896,0.22582736864165895,0.3388314318672714,0.019200903862060487,0.018627360258106584,0.03714094363852492,0.007771001702756757,0.0008671885166380671,1.2945696828734135
4.5,0.03926799266418178,0.09540522128584449,0.07151456267866542,0.14673687857116252,0.031159443618953054,0.08621218210084935,0.16687956826128397,0.2232606675186527,0.33491215468018254,0.018238810729166686,0.018439460995308923,0.03668827624877296,0.007735975092250011,0.0008236890078625133,1.277274883453137
4.55,0.0392365599000715,0.09449319862098236,0.07141904807083,0.14652439934771447,0.030300615546535365,0.0839480703295325,0.16228801515672797,0.22068339864224493,0.33097826488729276,0.017316638238306477,0.018237014923089413,0.0362077921918021,0.007709597358348447,0.0007817830154350776,1.2601243962289135
4.6000000000000005,0.03920481495482503,0.09358090141436566,0.07132119743404983,0.14630680161647602,0.029501803777563465,0.0817177192050588,0.15777245085501523,0.2180972087072599,0.3270322763613157,0.016434319227954637,0.018020716709329306,0.0357012614305283,0.007690338543394821,0.0007414975934037742,1.2431233078305404
4.65,0.03917275893608102,0.09266853515979817,0.07122099755092501,0.14608406029793544,0.02876023881467097,0.07952199752434089,0.15333442610215695,0.2155037132754758,0.3230766524879096,0.015591618023030896,0.017791325507610003,0.035170533262980204,0.007676834294838195,0.0007028490821602293,1.2262765403199134
