Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(1),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Eu_relativistic
31.55,0.006750748268971953,0.0010825468867039123,0.003986092930946773,0.0033746573693209493,0.00024602081827041866,0.0011124996406494355,0.001008381694226253,0.00031314754846343884,0.0002781793085345582,6.317436900697889e-05,0.00026359005447288374,0.00024050676755107167,7.69597273400819e-05,6.821240767764596e-05,9.847709066958407e-07,8.845543865273649e-07,1.0749780109270888e-05,3.5927419125653e-05,3.154693232555535e-05,7.164464167497999e-07,0.04937007686335738
31.6,0.006739147272495878,0.0010824701489627255,0.0039663934323787104,0.0033560900096245715,0.00024529106677301536,0.0011076279347122025,0.0010032173398516163,0.000310074478804013,0.0002753802463636255,6.28774333201151e-05,0.0002624964908282488,0.00023931359247772663,7.620069043028653e-05,6.752217704395085e-05,9.709962057369591e-07,8.720535759831651e-07,1.069455709644082e-05,3.578030070699511e-05,3.139157462896396e-05,7.127317631360023e-07,0.04915624605259951
31.650000000000002,0.006727555953661229,0.0010823998424852271,0.00394678661424858,0.0033376212474742783,0.00024457971360363964,0.0011027693604982484,0.0009980731554630382,0.00030703358714312694,0.0002726111390289035,6.25872886136263e-05,0.0002614048580824734,0.00023812434572609325,7.544960492760789e-05,6.683934533027862e-05,9.574263735333919e-07,8.597401027293272e-07,1.0640575050706044e-05,3.563340833666343e-05,3.123670483699981e-05,7.090765557025834e-07,0.04894359516905579
31.700000000000003,0.006715974358221638,0.0010823356494213975,0.0039272721416185275,0.0033192506463557616,0.00024388641442548396,0.001097924010423518,0.0009929491675533476,0.00030402451928132645,0.0002698716500730414,6.230381551681805e-05,0.00026031519440429497,0.00023693904803771958,7.47063840611338e-05,6.616382996240353e-05,9.440598400041784e-07,8.476127639469327e-07,1.0587812378525233e-05,3.548674869129668e-05,3.108232815946268e-05,7.054734719315526e-07,0.04873211646295852
31.75,0.0067044025316457334,0.0010822772571374639,0.003907849679375274,0.0033009777704057675,0.00024321082959167416,0.0010930919746240076,0.000987845400601928,0.0003010469250530598,0.00026716144694806273,6.202689625460029e-05,0.0002592275372587825,0.00023575771948492998,7.397094202168002e-05,6.549554930394301e-05,9.308952167349554e-07,8.356705461181315e-07,1.053624774966077e-05,3.5340328367546726e-05,3.0928449785587017e-05,7.019210890017147e-07,0.048521802254957856
31.8,0.006692840519117621,0.0010822243581571553,0.0038885188922517665,0.003282802184430796,0.00024255262409719443,0.0010882733409820768,0.0009827618771061648,0.00029810045828012124,0.00026448020096925994,6.175641463153308e-05,0.0002581419234139486,0.0002345803794799998,7.324319395137482e-05,6.483442264587524e-05,9.179309365732656e-07,8.239122353672998e-07,1.0485860098985329e-05,3.519415367866164e-05,3.077507447093945e-05,6.984236906191364e-07,0.04831264493066232
31.85,0.006681288365537377,0.0010821766501034153,0.0038692794448485584,0.0032647234539254833,0.00024191146753106276,0.0010834681951526412,0.0009776986176125966,0.00029518477672562385,0.0002618275872696264,6.149225601593606e-05,0.00025705838894737133,0.00023340704678426498,7.252305593335036e-05,6.418037019616937e-05,9.051649472023622e-07,8.12336092790976e-07,1.0436628632211954e-05,3.5048230480097715e-05,3.062220617915975e-05,6.94989972003757e-07,0.04810463693365404
31.900000000000002,0.006669746115521547,0.0010821338356405673,0.0038501310016548847,0.003246741145090642,0.00024128703402876103,0.0010786766205892321,0.0009726556407477592,0.000292299542048491,0.0002592032847548166,6.123430732406354e-05,0.0002559769692528231,0.00023223773951716435,7.181044498153883e-05,6.353331306952675e-05,8.925945134706383e-07,8.009396511230717e-07,1.0388532834040576e-05,3.49025640581896e-05,3.046984784753377e-05,6.916310078229917e-07,0.04789777075843438
31.950000000000003,0.006658213813403641,0.0010820956224169371,0.003831073227069466,0.0032288548248509867,0.00024067900222492447,0.0010738986985699272,0.0009676329632487295,0.0002894444197584652,0.00025660697605863115,6.098245700434804e-05,0.00025489769904690497,0.00023107247516521541,7.11052790305738e-05,6.289317327723351e-05,8.802161569273017e-07,7.897196528612298e-07,1.0341552476738335e-05,3.4757159104605995e-05,3.0318001322931253e-05,6.88357900635203e-07,0.047692038944553476
32.0,0.006646691503234641,0.0010820617230079279,0.0038121057854210295,0.003211064060872541,0.0002400870552062944,0.0010691345082231465,0.0009626305999933682,0.0002866190791716273,0.00025403834749902077,6.07365950217141e-05,0.00025382061237568345,0.00022991127059092273,7.040747692579544e-05,6.225987371712323e-05,8.680257388370847e-07,7.786721339695703e-07,1.029566762706209e-05,3.461201978361461e-05,3.016666748330326e-05,6.851794861243958e-07,0.047487434072788555
