Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(0),J_5s1/2(1),J_total_Nb_relativistic
3.5500000000000003,0.039804633937901915,0.11239185727859759,0.0729101729428649,0.14985092007035666,0.06270619894359153,0.1338746766816194,0.2651483225681801,0.2682369940654068,0.40383166756817157,0.042270574988473336,0.019979265008109322,0.04068096441968755,0.015260295936029188,0.0,0.002133344102887935,1.6290798885118778
3.6,0.0397793296649548,0.11152700176425033,0.0728553648042298,0.14972822933543523,0.06016380532086763,0.1312459301929394,0.259653715855414,0.26615940321346293,0.4006356243069261,0.04087106187553253,0.01994842607581793,0.04066344607591093,0.014352880566197558,0.0,0.0020753558840416165,1.6096595749359812
3.6500000000000004,0.03975369405436634,0.11065757542641609,0.07279863464279186,0.14960127437113893,0.05773418882189119,0.12861854446273918,0.2541703087384208,0.26403998579509363,0.3973766463230892,0.039463021272126836,0.01993323737763665,0.04065916853891584,0.01355215168413773,0.0,0.0020152494118313258,1.5903736809205957
3.7,0.03972772802029332,0.10978381798482542,0.07273995375262209,0.14946999397536687,0.05541507247783804,0.1259949309479101,0.2487031484892525,0.2618803352299117,0.3940572305124918,0.038052317708264234,0.019927710500016706,0.0406579145747384,0.012847622265960144,0.0,0.0019534215016283026,1.5712111979411199
3.75,0.03970143248773329,0.10890596820116961,0.07267929409453727,0.14933432853341028,0.053204061312850257,0.12337743615796194,0.24325712314461934,0.2596820897544418,0.3906799388380652,0.03664443457006368,0.019926666537879077,0.04065101215145584,0.012229678829909529,0.0,0.0018902564318029765,1.5521637210458998
3.8000000000000003,0.03967480839245543,0.10802426377255034,0.07261662831729365,0.14919422006407632,0.05109865514593367,0.12076833768813698,0.237836954019085,0.25744692651617745,0.38724738918129575,0.0352444584025224,0.019925665194839366,0.040631187138909765,0.011689518441302914,0.0,0.0018261219671217147,1.5332251342417007
3.85,0.03964785668093072,0.1071389412270118,0.0725519297779817,0.14904961226388155,0.049096260998369834,0.11816984068615305,0.23244718919461427,0.2551765557981259,0.38376224641683265,0.033857070215208306,0.0199209375561894,0.040592424932024036,0.01121908937763271,0.0,0.0017613663498397846,1.5143913214747955
3.9000000000000004,0.03962057831026143,0.10625023582121096,0.07248517256161106,0.14890045054929252,0.04719420508190299,0.1155840747432429,0.22709219795796234,0.25287271539516304,0.3802272137419479,0.03248654278245584,0.01990932264900017,0.04052984102633223,0.010811035351532983,0.0,0.001696316120920068,1.4956599020928363
3.95,0.039592974248109924,0.1053583814402784,0.07241633149987547,0.14874668209699354,0.04538974434668266,0.11301309119848159,0.22177616615410561,0.2505371651608897,0.3766450242884136,0.0311367430211117,0.019888207840851987,0.04043956046444419,0.01045864317376494,0.0,0.0016312746469889082,1.4770299895809924
4.0,0.03956504547262674,0.10446361049991898,0.07234538218908872,0.14858825588216493,0.04368007757149777,0.1104588608439199,0.21650309242109295,0.24817168174113916,0.3730184330403938,0.029811138617212518,0.01985547307634258,0.04031860598313237,0.010155793730037397,0.0,0.0015665212420564048,1.4585019723106238
4.05,0.039536792972378075,0.103566153850799,0.07227230100728406,0.14842512271475714,0.042062355982221945,0.10792327201676588,0.21127678526933602,0.2457780535078559,0.3693502090781625,0.028512808157359227,0.01980943890745508,0.04016479461984362,0.00989691613584226,0.0,0.0015023107854582126,1.4400773150055186
4.1000000000000005,0.03950821774627251,0.10266624068526276,0.07219706513047039,0.1482572352737497,0.040533693387591024,0.10540812906376557,0.20610086096642344,0.2433580757047533,0.36564312816387523,0.027244454100393167,0.019748818238962504,0.03997664248232701,0.009676944926152339,0.0,0.0014388737488091252,1.4217583796188078
