Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(3),J_5s1/2(2),J_5p1/2(2),J_5p3/2(2),J_6s1/2(2),J_total_Nd_relativistic
2.6500000000000004,0.013135877539001637,0.044190379946428916,0.023211296105689602,0.024727194742542473,0.07317418261884608,0.06102231366405904,0.06337019266816216,0.04302161332287278,0.043638862034953346,0.042501141569269575,0.08636275588175762,0.08408840601340448,0.09613723802773289,0.09633361762657218,0.09633361762657218,0.030809123949468456,0.014702669406754946,0.014959398885584552,0.0027446666782085308,3.258094710706613
2.7,0.013133144582557623,0.04408385810290371,0.02320991350310754,0.02472539425159314,0.07214393466758219,0.060891812028290526,0.06321298761401066,0.0430133131878616,0.04362987535709183,0.040486754406530906,0.08390239655765289,0.0814207037663795,0.09461067328330093,0.09473589856786892,0.09473589856786892,0.02959627771183233,0.014677267604457771,0.014957816695366517,0.002662437501427978,3.2096461854389284
2.75,0.013130361360172918,0.04397563707838306,0.023208455161462298,0.024723495524252685,0.07111050049695768,0.060755513023820276,0.06304896122042063,0.04300433172879116,0.04362015386789798,0.0386017146847407,0.08144626642192453,0.07876996779791591,0.09305016944008432,0.09310501669926634,0.09310501669926634,0.028356952449183837,0.014669003560615955,0.014949500723805487,0.002573776683032344,3.161177478333879
2.8000000000000003,0.01312752791693355,0.04386573218027197,0.02320691854539374,0.02472149530862332,0.07007451377976484,0.06061333184067468,0.06287802781274214,0.04299463144843218,0.04360965746782493,0.03684243276556561,0.07899878448826801,0.07614099113388516,0.09145840124689301,0.09144385416279992,0.09144385416279992,0.027101437293522088,0.014667658581921567,0.014927673282321396,0.0024797875923950555,3.112716562299956
2.85,0.013124644298723369,0.0437541589167629,0.02320530109370416,0.024719390322374264,0.0690366005254733,0.06046518910916382,0.06270010883402181,0.042984174037401957,0.043598345223262905,0.03520504686668779,0.07656422058713479,0.07353833838745798,0.08983810396849323,0.0897553430699397,0.0897553430699397,0.025839400706375106,0.01466484434930831,0.01488718064561475,0.002381580045157829,3.0642987061594114
2.9000000000000004,0.013121710552222457,0.04364093299286702,0.023203600220360436,0.0247171772541418,0.06799737851356277,0.06031101103755007,0.06251513298679313,0.04297292042238474,0.0435861754204391,0.03368545892816549,0.0741466805432955,0.07096633246672915,0.08819205666038225,0.08804244789877652,0.08804244789877652,0.02457979659061598,0.014653802363282915,0.014824274803540585,0.002280240401333194,3.0159647938993777
2.95,0.01311872672490552,0.043526070306407726,0.023201813315503646,0.02471485276493832,0.06695745674836277,0.0601507295376082,0.06232303635839567,0.04296083081696973,0.043573105622068474,0.032279369417810344,0.07175009317257898,0.0684290436469337,0.08652306610618983,0.08630814871467592,0.08630814871467592,0.02333080125782398,0.01462921461928805,0.014736413438153066,0.0021768087377165212,2.967759833566821
3.0,0.013115692865040243,0.04340958694397822,0.02319993774646566,0.02471241348956957,0.06591743493590563,0.05998428233799585,0.06212376252981146,0.04294786477495196,0.04355909272657914,0.030982310918960008,0.06937819907665863,0.0659302809271026,0.08483395151261301,0.08455542530344833,0.08455542530344833,0.022099776552435484,0.014587026572683293,0.014622078045518922,0.0020722620246111947,2.9197316461330893
3.0500000000000003,0.013112609021685628,0.04329149917686453,0.02319797085879223,0.024709856038059447,0.06487790298324442,0.059811613085385705,0.06191726266805148,0.04293398124593374,0.04354409302972789,0.029789680365981973,0.06703454120009301,0.06347358557585459,0.08312753003911273,0.08278724228694043,0.08278724228694043,0.02089325483817165,0.014524283006480352,0.014480609788152035,0.001967502342819971,2.871929723222204
3.1,0.013109475244690302,0.04317182345693561,0.023195909977272073,0.02470717699708154,0.06383944052063138,0.05963267143334173,0.061703495602168396,0.04291913863305774,0.04352806228841492,0.028696769814120567,0.0647224571008674,0.06106222675838994,0.08140660322290569,0.08100653527308925,0.08100653527308925,0.01971694196835866,0.014438977052075166,0.014312062412694799,0.0018633492830560734,2.8244042417427613
