Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Sm_relativistic
2.0,0.012660182539443645,0.04373603414643353,0.022275825176023625,0.023845260430886146,0.0836614305462785,0.05952158679901165,0.06220224692729132,0.04114210565633796,0.04177633107709917,0.0845373791263518,0.1144603231774271,0.1163506464856246,0.1076657868158969,0.10889531170902679,0.10889531170902679,0.03766074288663099,0.029565708428843023,0.024263303780553757,0.0029006587032868697,4.018113193257468
2.0500000000000003,0.012658329536750937,0.04366207055990251,0.022275322975687874,0.023844592048356865,0.08283254271236341,0.059469113299776874,0.06213735418586426,0.04114034583265377,0.04177440787022606,0.08084196495005574,0.11268715412792589,0.11428072084259686,0.10695849873657853,0.10813443849633791,0.10813443849633791,0.03764701601091602,0.02660852599725432,0.022032851090459788,0.0028413541302796017,3.9645598998257605
2.1,0.01265643117520781,0.04358642420835475,0.022274783504145284,0.023843874172562143,0.08199226795998268,0.05941313654368724,0.06206818164016542,0.04113837713512293,0.041772256894822946,0.07725603344584381,0.11085824522665261,0.1121540472922819,0.10620413767266793,0.10732414589861575,0.10732414589861575,0.037596141916681376,0.02409058569374474,0.020191265875364347,0.002807773166569502,3.912699232545886
2.15,0.01265448748355383,0.04350910527248843,0.022274205024811245,0.023843104511428882,0.08114116626916472,0.05935353831594929,0.06199459110469713,0.04113618162691958,0.04176985867464695,0.07378347801308187,0.10897671458036728,0.10997484692633096,0.1054025229531596,0.10646439378319408,0.10646439378319408,0.03748616963409419,0.021965361067161713,0.018688642600433257,0.002791415956031304,3.8622222819254417
2.2,0.012652498491207649,0.04343012414070209,0.022273585769027698,0.023842280731914987,0.08027979984308493,0.05929020207037876,0.06191644700099708,0.04113374046611009,0.04176719276221265,0.0704275888718656,0.10704587130581912,0.10774752253607632,0.10455368269249113,0.1055553658478776,0.1055553658478776,0.03730109797288757,0.020188629873606093,0.017478831164663217,0.0027853806912858507,3.8128563554143584
2.25,0.012650464228266056,0.04334949140654197,0.022272923936718786,0.023841400460960196,0.07940873250232966,0.05922301314671402,0.06183361663026629,0.04113103390379802,0.04176423773821606,0.06719106738672938,0.10506919296158473,0.10547662787926004,0.1036578513932224,0.10459746557268879,0.10459746557268879,0.037030109686253955,0.018718762724745826,0.016519518593024023,0.0027841656027134836,3.764363759210415
2.3000000000000003,0.012648384725502991,0.04326721786610457,0.02227221769705715,0.023840461286451575,0.07852852908480151,0.05915185898290567,0.06174597043812397,0.041128041284801437,0.041760971213756944,0.06407604297446799,0.10305030262921262,0.10316683708549955,0.10271546575965977,0.10359131029653902,0.10359131029653902,0.03666683876379072,0.017516914959226623,0.015772224920255224,0.0027834822918849493,3.7165401247663064
2.35,0.012646260014368563,0.04318331451539542,0.022271465189140527,0.02383946075820326,0.07763975485214333,0.05907662932199281,0.061653382270983055,0.041124741050889514,0.041757369835383404,0.061084092332612014,0.10099294585736872,0.10082291447194049,0.10172715887189865,0.1025377235984024,0.1025377235984024,0.0362086812934311,0.01654713640597477,0.015202230680123496,0.0027800826676858273,3.6692124065924743
2.4000000000000004,0.012644090126988021,0.04309779254764513,0.022270664522678375,0.02383839638894993,0.07674297490353117,0.0589972164131953,0.06155572962356965,0.04112111074659524,0.04175340929297134,0.05821626072324926,0.0989009676703805,0.09844968501735395,0.10069375288121837,0.10143772617241817,0.10143772617241817,0.03565615701120421,0.015776412593895988,0.01477845125698844,0.0027716007129948033,3.622236658367033
2.45,0.01264187509616072,0.04301066335058358,0.022269813778688176,0.023837265655353483,0.07583875359765985,0.058913515206870375,0.06145289387714008,0.04111712702761088,0.041749064330440004,0.05547308504763915,0.09677828982889614,0.09605200571856361,0.09961625039540772,0.10029252539198064,0.10029252539198064,0.03501232588234998,0.01517464972492084,0.014473271287654315,0.0027564095488506325,3.57549567651152
