Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(1),J_5s1/2(2),J_total_Y_relativistic
0.9,0.04292118613544759,0.1539781123573378,0.07850744082302265,0.1611217764649865,0.3423317660033004,0.23536801171764132,0.480460093832876,0.3406421299958413,0.514625579943323,0.3928647966859396,0.5368080882905936,1.0770999101445478,0.2360100985083584,0.1026647979636465,4.695403788866862
0.9500000000000001,0.042913266747819166,0.15362287652793163,0.07850580087692285,0.16111810970932458,0.33674236111228134,0.23505023342398496,0.47975936731485586,0.3406047334739503,0.5145669203832988,0.3537954405367546,0.5119609567633318,1.0242468697813183,0.21713360018761346,0.09794512754313478,4.547965664382522
1.0,0.04290492145667457,0.15324942604789693,0.07850388512412076,0.16111382666232665,0.330957509323907,0.2346843148081946,0.4789530322678985,0.3405573488785905,0.5144926181292977,0.3174021895024434,0.4862381633403711,0.969795785999406,0.19944483933116863,0.09199980864622172,4.400297669518518
1.05,0.042896150604063155,0.1528579135065437,0.07850166498198882,0.1611088635617773,0.3249917488166434,0.23426661046284494,0.4780332329572693,0.3404981580452749,0.5143998346036522,0.2838062279703879,0.4599197332002932,0.9143561236005138,0.1829310534175861,0.08519703424159701,4.253764349970435
1.1,0.042886954549366,0.15244849848596279,0.0784991106457175,0.16110315394115693,0.3188598298987015,0.23379356223962858,0.4769923326124212,0.34042517364975733,0.5142854697274096,0.2530666434939877,0.4332805309571984,0.8585173792891688,0.16756122771672255,0.07789947287564532,4.109619340082845
1.1500000000000001,0.042877333669264696,0.15202134744077647,0.07849619112316912,0.16109662871040936,0.3125766535806006,0.23326172649579793,0.4758229738841313,0.3403362456609623,0.5141461725786394,0.2251871282433857,0.4065830647066301,0.8028343132731781,0.15329251874946154,0.07042470937502138,3.968957007491429
1.2000000000000002,0.042867288357708595,0.1515766335731167,0.07849287427103283,0.16108921623968833,0.30615721099128385,0.23266779997072512,0.4745181359368926,0.3402290704000402,0.5139783561249108,0.20012323331214232,0.38007176832216183,0.7478156696389742,0.14007482161966187,0.06303009693705454,3.832692175695394
1.25,0.0428568190258806,0.15111453670297784,0.07848912683222775,0.1610808424459546,0.29961652398412203,0.2320086440996193,0.4730711877446164,0.34010120206676087,0.5137782157986617,0.1777898498547679,0.35396875088594254,0.6939162499964446,0.12785397682084979,0.05591117723323331,3.7015571034920596
1.3,0.042845926102161445,0.1506352431340955,0.0784849144744995,0.16107143088229292,0.29296958725891176,0.2312813075941227,0.47147593721356135,0.3399500665472528,0.5135417516104079,0.15806863959476955,0.3284709266977254,0.6415320527348417,0.11657399724109119,0.049206986023525696,3.5761087671092597
1.35,0.04283461003209253,0.15013894551550827,0.0784802018301539,0.16106090282981378,0.28623131230358606,0.23048304714325726,0.4697266758144726,0.3397729772765184,0.5132647934317893,0.14081518901675338,0.30374838775117585,0.5909980948131652,0.10617859806904674,0.04300829599971201,3.456742031827045
1.4000000000000001,0.04282287127833729,0.1496258426989627,0.07847495253687051,0.16104917739200217,0.27941647343513587,0.22961134611264206,0.4678182184652587,0.3395671528958074,0.512943029029202,0.12586571312303427,0.27994384998945887,0.5425884852203896,0.09661223495963997,0.03736657768637143,3.343705924823113
1.4500000000000002,0.04281071032064104,0.14909613959232595,0.07846912927953685,0.16103617159137212,0.2725396561935193,0.22866393114468447,0.4657459384652703,0.3393297364191531,0.5125720343897349,0.11304318338673215,0.25717299133572763,0.4965183088672114,0.08782079726259306,0.032302516274515004,3.237121244523017
1.5,0.04279812765578948,0.14855004700917493,0.07846269383304366,0.1610218004682837,0.265615208315444,0.22763878658721654,0.46350579734151415,0.3390578156052656,0.5121473058543902,0.10216279864349037,0.23552549950895313,0.4529468967090374,0.07975206013852368,0.027813546822318323,3.1369983844924447
1.55,0.042785123797565584,0.14798778151473338,0.07845560710597992,0.16100597718177626,0.25865719348717964,0.22653416670247317,0.461094369525154,0.3387484442204108,0.5116642935588636,0.09303675601076969,0.2150666572550835,0.4119820933857086,0.07235596847309718,0.02388022469755261,3.0432546569163477
1.6,0.04277169927670523,0.1474095652683321,0.07844782918516577,0.16098861311226995,0.2516793480473136,0.2253486056320887,0.45850886183268974,0.3383986638745571,0.5111184356789263,0.08547831097959833,0.19583930857169005,0.3736851800930356,0.06558480347653745,0.020471438411683678,2.9557306634405935
1.6500000000000001,0.04275785464085123,0.14681562586257,0.0784393193809607,0.16096961796598575,0.2446950407819218,0.2240809251166438,0.4557471277796207,0.3380055261164584,0.5105051929848368,0.07930514153317943,0.1778660690722592,0.33807616185715894,0.0593932674461128,0.01754856533843316,2.8742054358769926
