Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(7),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_6s1/2(2),J_total_Tm_relativistic
1.5,0.011105162873049418,0.03897370544083981,0.01938570779536024,0.021135900623298655,0.08091006547096558,0.05157516939328641,0.054580225864433694,0.03552651987137456,0.03620697472806422,0.12422049856608008,0.11299818717967625,0.11899589262791627,0.09634135412535855,0.09822118535749436,0.10215191669039062,0.10370397745903462,0.05528698533754267,0.12098135180783684,0.10436818412995805,0.01124947158509226,5.122573222737756
1.55,0.011104206162573635,0.03893549472821494,0.019385597290259217,0.021135741875477034,0.08045276354831968,0.051563451008717,0.05456477223340022,0.03552635456069014,0.036206789607658614,0.12091888410430097,0.11242317698424367,0.11824931320813939,0.0962244936017284,0.09808922611748244,0.10146205667574686,0.10291277270319539,0.050375192418019334,0.11089757327030865,0.09430209804136631,0.0096873444437951,5.026436305328405
1.6,0.011103218206964156,0.03889607472475945,0.01938547567433942,0.02113556718264068,0.07998334357808214,0.05155060460053372,0.054547840351153315,0.03552616141222922,0.03620657334949506,0.11760986396753392,0.11180523869622361,0.11744954450599628,0.09609214772574787,0.0979400011548742,0.10074365252107409,0.10209512878820176,0.0462455541429875,0.10137511944232158,0.08498231142603163,0.0083297663500123,4.935510072852783
1.6500000000000001,0.011102199018047144,0.03885544958456522,0.01938534223769395,0.021135375529258055,0.07950206460037441,0.051536566197278505,0.054529347897271756,0.03552593690816315,0.036206322027097844,0.11430001909252031,0.11114364884413479,0.11659606797362074,0.09594315004656079,0.09777225230451989,0.09999774802210264,0.10125216440394927,0.04281701834646112,0.0924310075774219,0.07640124072563184,0.007161085834072148,4.849616363937131
1.7000000000000002,0.011101148608020833,0.038813623584567365,0.019385196250186705,0.021135165871292872,0.07900919096795501,0.05152127099345371,0.05450921167417603,0.035525677232048636,0.03620603138229655,0.11099574283609605,0.11043783721991854,0.11568858119239409,0.09577634225593422,0.09758473733919283,0.09922543446422387,0.10038503446937591,0.040010152591285465,0.08407357295404931,0.06854288945373613,0.006164452029103567,4.768528307187511
1.75,0.011100066989455216,0.03877060112371665,0.01938503696166278,0.02113493713654345,0.07850499210311548,0.05150465344610423,0.05448734774464595,0.035525378256799585,0.03620569681211839,0.10770322334649862,0.10968739005507343,0.11472699912384023,0.09559058298512355,0.0973762398203838,0.09842784373880573,0.0994949245372555,0.03774828753569232,0.07630346766495545,0.06138436918561697,0.005322627631102897,4.691982305433669
1.8,0.011098954175291718,0.03872638672212937,0.01938486360216447,0.02113468822499085,0.07798974225136626,0.05148664737216208,0.05446367157003246,0.03552503553302279,0.03620531335611466,0.10442842744350696,0.10889205210914123,0.11371145376124722,0.09538475648252655,0.09714557872089555,0.0976061416140614,0.09858304507090972,0.035958420947451816,0.06911466677324361,0.0548973092238044,0.00461857875191412,4.619688657122038
1.85,0.011097810178842864,0.03868098502021495,0.019384675382152775,0.02113441800915572,0.07746372023223778,0.05146718604639129,0.05443809814891087,0.03552464427776254,0.036204875684171994,0.10117708604066546,0.10805172769007147,0.11264229224342896,0.09515778106868786,0.09689161770399976,0.09676152119409227,0.0976506256989734,0.03457190232420556,0.062495453605292545,0.04904913857916713,0.0040358904801477075,4.551340830695295
1.9000000000000001,0.011096635013791939,0.03863440077778148,0.0193844714927343,0.021134125334463644,0.07692720918752342,0.051446202299770906,0.05441054215592416,0.03552419936369795,0.036204378084857464,0.09795468113146595,0.10716648063426465,0.11152007350376948,0.09490861727292668,0.09661327395436027,0.09589519660378426,0.09669890954366205,0.03352492040247102,0.05642936274171041,0.043804232022851025,0.0035590477805486635,4.486623440202304
1.9500000000000002,0.01109542869419263,0.03858663887311954,0.019384251105893525,0.021133809019618886,0.0763804963272914,0.05142362861815485,0.05438091808056704,0.03552369530883535,0.03620381445434487,0.09476643435032664,0.10623653328169673,0.11034556353798845,0.09463627556472451,0.09630952646752274,0.09500839693060445,0.09572914769462114,0.03275881695749237,0.050896065199470805,0.03912491825150342,0.0031736134259447452,4.425218993697297
