Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_5s1/2(1),J_total_Cd_relativistic
3.1,0.016886894865743705,0.05314322852983516,0.030461669407805467,0.03167211201576718,0.057886346669587294,0.07387513233186373,0.07485720383814844,0.05845999674605275,0.05896467793516843,0.025316789305026552,0.025702683401614135,0.02314924689417761,0.03447070510308264,0.03318266532143203,0.0019283833606085835,2.0137233736726863
3.1500000000000004,0.01688018792939903,0.05289164478943181,0.03045367146794814,0.03166270873126966,0.05625220501699012,0.07325144756152643,0.07416959494567953,0.058346652080918486,0.05884605570794809,0.02531564819677922,0.02403358908839571,0.021645157510352935,0.032469639461694844,0.031226572349090653,0.0018845446238800177,1.9755366566105954
3.2,0.016873377449682713,0.052637385248468394,0.03044532031278155,0.03165289269934379,0.05464572830872718,0.07261378796633704,0.07346749305309296,0.05822755380276356,0.058721461893892754,0.025313985013251623,0.022494067425023273,0.02026875243481447,0.030570832319277038,0.029372833514323644,0.00185120315519548,1.9390655794454001
3.25,0.016866463603237087,0.05238050597815452,0.03043660739845788,0.03164265413093114,0.05306767648516673,0.07196253047824956,0.07275136066590156,0.058102600853815294,0.05859079581950701,0.02530671680228603,0.021077770689259364,0.019012865090141533,0.028770708832935775,0.02761769618903224,0.0018265506189934352,1.9042213544537459
3.3000000000000003,0.016859446569270863,0.05212106334454366,0.03042752419956016,0.03163198327082519,0.05151874361548307,0.07129807183052095,0.07202168069887872,0.0579716997383151,0.058453964852099735,0.025289479589248383,0.019778333178117054,0.01787040383171171,0.027065681659681564,0.025957413081585147,0.0018089651136887243,1.8709173192806245
3.35,0.01685232652954931,0.05185911398673546,0.030418062214384124,0.031620870404023844,0.04999955877214622,0.07062082738188175,0.07127895503138729,0.05783476475844357,0.058310884631739314,0.025258580063055446,0.01858941153721361,0.016834388673090166,0.025452167636909773,0.024388257835487523,0.0017970007575560441,1.8390692033038236
3.4000000000000004,0.0168451036683843,0.05159471479512856,0.03040821297017788,0.03160930586202039,0.048510687029157215,0.06993122991589237,0.07052370304361107,0.05769171822039551,0.058161479271425114,0.025210947111812224,0.01750472056891895,0.015897983053111762,0.023926602596469202,0.022906538785070447,0.0017893768168671228,1.8085953451940826
3.45,0.01683777817262422,0.05132792288973611,0.030397968028335828,0.03159728002902858,0.047052630576193355,0.06922972842062658,0.06975646013980875,0.05754249061053007,0.058005681525491945,0.02514408371058265,0.016518064741060032,0.015054520969582576,0.022485454445325445,0.0215086110056608,0.0017849666003411202,1.779416866243018
3.5,0.016830350231643778,0.051058795598576075,0.030387318989543277,0.03158478334813737,0.045625829940765035,0.0685167868536874,0.06897777626449478,0.05738702074168651,0.05784343292643733,0.025056019590196967,0.015623365634798181,0.01429752981045992,0.021125234640837907,0.02019088678980957,0.0017827863058354173,1.7514578038100395
3.5500000000000003,0.016822820037333628,0.05078739043614817,0.030376257498868322,0.03157180632739118,0.04423066531046069,0.0677928828974073,0.06818821441721828,0.057225255869911985,0.057674683890523944,0.024945265047918896,0.014814685581483439,0.013620749214045663,0.019842508183134634,0.018949844675508143,0.0017819839714068705,1.7246452090050544
3.6,0.01681518778408993,0.050513765082009124,0.030364775250797643,0.03155833954579136,0.04286745794736349,0.06705850670891483,0.06738834917136105,0.05705715178199401,0.057499393792661155,0.024810766198345404,0.014086247744601375,0.013018146286044578,0.018633902241611513,0.017782037146399657,0.0017818286533723636,1.6989092124805631
3.6500000000000004,0.016807453668803745,0.05023797735945779,0.030352863994212907,0.031544373659215065,0.04153647168676295,0.06631415966956578,0.06657876520211072,0.05688267285432564,0.057317531011209476,0.024651861906074487,0.01343245290509518,0.012483927494103665,0.017496113527313808,0.016684097117515215,0.0017816999287927134,1.6741830619581546
3.7,0.016799617890850306,0.04996008521434137,0.03034051553730461,0.03152989940624737,0.040237914512354395,0.0655603531380418,0.0657600558284901,0.05670179208375672,0.05712907294348,0.024468242590347297,0.012847893207033171,0.012012547550372612,0.01642591451749242,0.01565274331343741,0.0017810777979117127,1.6504031348633106
3.75,0.016791680652078176,0.04968014669399387,0.0303277217524202,0.03151490761392304,0.0389719402002163,0.06479760721121278,0.06493282157403729,0.05651449109119838,0.0569340059928171,0.024259911045876506,0.012327363116397552,0.011598715580336233,0.015420158632730867,0.014684784639569983,0.00177953304322567,1.627508929194068
3.8000000000000003,0.01678364215679828,0.04939821992631766,0.03031447458084354,0.03149938920337421,0.03773865002397964,0.06402644949664402,0.06409766875043911,0.05632076009885129,0.056732325528256924,0.024027145383186045,0.011865867839231842,0.01123739886221465,0.014475784461007337,0.013777123641372796,0.0017767180859105838,1.605443035507148
3.85,0.016775502611772818,0.049114363099018815,0.03030076603750266,0.03148333519538037,0.036538094513750695,0.06324741390040792,0.06325520806812195,0.05612059788201989,0.056524035817846346,0.023770464155741793,0.011458629436976404,0.010923824406077344,0.01358981911734326,0.012926759140561267,0.0017723583666503855,1.5841510926698599
3.9000000000000004,0.01676726222620403,0.04882863443900656,0.03028658821560308,0.03146673671581739,0.03537027526151838,0.0624610394336316,0.062406053277503384,0.0559140116965562,0.05630914993678766,0.02349059370965448,0.011101090866964217,0.010653478625877937,0.012759380822364936,0.01213078813118625,0.0017662442663888465,1.563581729798265
3.95,0.016758921211722882,0.04854109219196721,0.03027193329118386,0.03144958500100211,0.034235146765967596,0.06166786904098116,0.06155081984430536,0.05570101718304706,0.05608768965164297,0.02318843776447383,0.010788918165108394,0.010422105341229781,0.011981680777845644,0.01138640701254883,0.0017582235730477834,1.543686496583776
4.0,0.016750479782377606,0.04825179460212228,0.030256793527593782,0.03143187140292956,0.03313261830982683,0.060868448454049054,0.06069012366202749,0.05548163824891822,0.05585968528189007,0.022865049210245608,0.010518000976105897,0.01022570232919466,0.011254024411888768,0.01069091223044725,0.0017481944922319236,1.5244197840029647
