event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au
277,3,3,22,2013,662.0,636.5386514807622,25.461348519237845,14.274823478390584,163.30867383375394,-1.9846611556537326,-0.5324547418437972,0.5324547418437972
280,3,3,22,2013,662.0,379.23606300671236,282.76393699328764,64.88358435242537,607.4039605120313,-65.81684746602637,-17.657670392078717,17.657670392078717
281,3,3,22,2013,662.0,216.26831289679336,445.73168710320664,126.22082795816713,808.8346860837944,-122.81605166733068,-32.94969969987785,32.94969969987785
308,3,3,22,2013,662.0,187.12882412217763,474.87117587782234,163.5023969410793,843.1013819272015,-133.73338206667395,-35.87865526634632,35.87865526634632
314,3,3,22,2013,662.0,627.2116836282194,34.78831637178064,16.826354704199716,191.7389121941951,-3.1557264605418163,-0.8466339521438158,0.8466339521438158
317,2,2,22,2013,662.0,247.5280786109627,414.47192138903733,107.00805702799852,771.6063593120056,-111.31716839678644,-29.864722243717154,29.864722243717154
338,3,3,22,2013,662.0,398.80664752906426,263.19335247093574,60.621175436813864,581.59588482784,-59.551802918865825,-15.976853156604859,15.976853156604859
358,3,3,22,2013,662.0,222.4624574464466,439.5375425535534,121.67566310258175,801.498385283405,-120.51945248390135,-32.3335566762448,32.3335566762448
377,3,3,22,2013,662.0,457.76183687080027,204.23816312919973,49.034607792176566,500.44398763221847,-41.675774981883755,-11.18098368877972,11.18098368877972
378,3,3,22,2013,662.0,412.45935172721335,249.54064827278665,57.79200439170568,563.2943579307157,-55.27304708903937,-14.828927313297644,14.828927313297644
387,3,3,22,2013,662.0,261.02455554578967,400.97544445421033,100.70570014244046,755.3656976332627,-106.42555879393609,-28.552376949475526,28.552376949475526
388,2,2,22,2013,662.0,509.65029691704933,152.34970308295067,39.712917546803496,422.9793097278945,-27.43644827691657,-7.36078647117186,7.36078647117186
399,3,3,22,2013,662.0,341.3092840414385,320.6907159585615,74.05413075457345,656.1918529712966,-78.36262804130885,-21.023514651392894,21.023514651392894
412,3,3,22,2013,662.0,495.62296840967343,166.37703159032657,42.193720401853525,444.6552374865198,-31.12631045948126,-8.35072100496361,8.35072100496361
414,3,3,22,2013,662.0,508.16941908945364,153.83058091054636,39.97421246580405,425.2979731472843,-27.819921286592766,-7.4636665128301285,7.4636665128301285
416,3,3,22,2013,662.0,208.73355027831985,453.26644972168015,132.54664483708478,817.733329354988,-125.62132357041793,-33.702311964548265,33.702311964548265
418,3,3,22,2013,662.0,246.97538472682368,415.0246152731763,107.28506637746466,772.2691780319689,-111.51845200395682,-29.918723608528463,29.918723608528463
418,4,3,22,2013,662.0,150.25404680250546,511.74595319749454,101.41442117372898,707.2415376494255,16.12869887912629,4.3270873587147785,4.3270873587147785
438,3,3,22,2013,662.0,319.0014906729995,342.9985093270005,80.21033775301962,684.2453552608074,-85.96859939147964,-23.06408238266011,23.06408238266011
439,3,3,22,2013,662.0,225.7995155581154,436.2004844418846,119.41705156301545,797.5379657482675,-119.28580198170458,-32.00258679869092,32.00258679869092
445,3,3,22,2013,662.0,275.88075314523996,386.11924685476004,94.60833448565252,737.3609030436139,-101.09515600592579,-27.122310042422768,27.122310042422768
447,3,3,22,2013,662.0,562.5020080727691,99.49799192723094,30.29240601737812,334.0457771646858,-14.817779730603098,-3.975387465351828,3.975387465351828
451,2,2,22,2013,662.0,526.1714975073069,135.82850249269313,36.799413906271454,396.5675422053656,-23.26096316490527,-6.240566608423415,6.240566608423415
466,3,3,22,2013,662.0,598.7338460256464,63.26615397435364,23.301533453813914,262.0314440678453,-7.637381713346213,-2.048994659344154,2.048994659344154
474,3,3,22,2013,662.0,411.9133240573926,250.08667594260743,57.903145298714364,564.031367131664,-55.4426614721141,-14.874432301539981,14.874432301539981
474,5,2,22,2013,662.0,318.40965131140183,343.59034868859817,46.72418495673396,500.6343903971449,100.38717419281758,26.932369168911563,26.932369168911563
485,3,3,22,2013,662.0,581.3868472326079,80.61315276739208,26.751049444493972,298.13578582702974,-10.898229886089524,-2.9238311860045187,2.9238311860045187
488,3,3,22,2013,662.0,270.86211966451276,391.13788033548724,96.5841883840356,743.4587429411445,-102.88936017319122,-27.603668038458977,27.603668038458977
491,2,2,22,2013,662.0,509.4942630028374,152.50573699716261,39.740444840890966,423.2239721065447,-27.476784028535747,-7.371607946744294,7.371607946744294
492,3,3,22,2013,662.0,495.9097707294252,166.0902292705748,42.14282859327377,444.21820820063164,-31.049607685141527,-8.330142804098731,8.330142804098731
501,3,3,22,2013,662.0,389.52701034916583,272.47298965083417,62.60921019376947,593.8925252276699,-62.50367949123931,-16.76879724933849,16.76879724933849
515,3,3,22,2013,662.0,492.3119848815571,169.68801511844288,42.78192323726544,449.68300391054635,-32.01550014628931,-8.589277225903801,8.589277225903801
520,3,3,22,2013,662.0,314.83394223714345,347.16605776285655,81.44102799886514,689.439791333686,-87.40684564162632,-23.449942222586994,23.449942222586994
534,3,3,22,2013,662.0,297.47429881667483,364.52570118332517,86.89821733336105,710.931402293164,-93.4535960351149,-25.072194419435338,25.072194419435338
541,3,3,22,2013,662.0,274.32746057115315,387.67253942884685,95.21145451639869,739.2499496093026,-101.64975512037815,-27.271100644521926,27.271100644521926
545,3,3,22,2013,662.0,520.8108098438265,141.18919015617348,37.74515514841617,405.252306550044,-24.594652889483214,-6.598375504907794,6.598375504907794
576,3,3,22,2013,662.0,401.0962789939179,260.9037210060821,60.139097826127454,578.5445408375432,-58.828817886834116,-15.782887145081562,15.782887145081562
577,3,3,22,2013,662.0,440.697436992021,221.30256300797902,52.238319527168436,524.5431930246237,-46.68284957804615,-12.524306504312989,12.524306504312989
