Q,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_3d(10),J_4s(1),J_total_Cu
28.950000000000003,0.003523063919326399,0.0006394810515116098,0.00016573845451347245,9.8144424585558e-05,2.500713092534997e-05,3.77360451535073e-07,2.984761130203329e-06,0.009672610669125623
29.0,0.003504690051030697,0.0006355534131481051,0.00016399630540653014,9.752738652781552e-05,2.474693836696315e-05,3.718546579805908e-07,2.965939882461247e-06,0.009614685650516461
29.05,0.0034864130478036628,0.0006316497365286697,0.00016227420774458706,9.691419015152349e-05,2.4489705297789036e-05,3.6643619784260705e-07,2.947236075215564e-06,0.009557149025275612
29.1,0.003468232443378844,0.0006277699031502573,0.0001605719123185934,9.630481650294575e-05,2.4235395414285547e-05,3.611035761955078e-07,2.9286491304662213e-06,0.009499997857353788
29.150000000000002,0.003450147772957634,0.0006239137944601232,0.00015888917322270097,9.569924660269346e-05,2.3983972887434155e-05,3.558553255624145e-07,2.9101784693249145e-06,0.00944322923642666
29.200000000000003,0.003432158573215993,0.0006200812918714662,0.0001572257478081341,9.509746144888025e-05,2.373540235620899e-05,3.506900053772323e-07,2.8918235121148345e-06,0.009386840277624625
29.25,0.0034142643823109648,0.0006162722767787163,0.00015558139663773008,9.449944202020357e-05,2.348964892113928e-05,3.456062014579054e-07,2.873583678468075e-06,0.009330828121266033
29.3,0.0033964647398869855,0.0006124866305724707,0.0001539558834411389,9.390516927895354e-05,2.324667813796373e-05,3.4060252549063126e-07,2.855458387420745e-06,0.009275189932593766
29.35,0.003378759187082011,0.0006087242346540903,0.00015234897507067417,9.331462417395106e-05,2.300645601137571e-05,3.356776145247974e-07,2.8374470575058405e-06,0.00921992290151516
29.400000000000002,0.003361147266533433,0.0006049849704499547,0.0001507604414578031,9.272778764341563e-05,2.276894898885766e-05,3.3083013047839537e-07,2.8195491068438857e-06,0.009165024242345199
29.450000000000003,0.003343628522383811,0.0006012687194253884,0.00014919005557026803,9.214464061776492e-05,2.2534123954603554e-05,3.260587596536894e-07,2.801763953231427e-06,0.009110491193552927
29.5,0.0033262025002864133,0.0005975753630982596,0.0001476375933698295,9.156516402234704e-05,2.230194822352819e-05,3.213622122629123e-07,2.784091014227388e-06,0.009056321017511042
29.55,0.003308868747410565,0.0005939047830522577,0.00014610283377062077,9.098933878010643e-05,2.2072389535361813e-05,3.1673922196376705e-07,2.7665297072373284e-06,0.009002511000248627
29.6,0.003291626812446822,0.0005902568609498585,0.0001445855585981069,9.04171458141854e-05,2.1845416048829226e-05,3.1218854540452346e-07,2.749079449595667e-06,0.00894905845120699
29.650000000000002,0.0032744762456119506,0.0005866314785449769,0.0001430855525486367,8.984856605046157e-05,2.162099633591169e-05,3.077089617784917e-07,2.7317396586458716e-06,0.008895960702998498
