Q,J_1s_one_electron,J_2s_one_electron,J_3s_one_electron,J_2p_one_electron,J_3p_one_electron,J_3d_one_electron,J_4s_one_electron,J_4p_one electron,J_1s(2),J_2s(2),J_2p(6),J_3s(2),J_3p(6),J_4s(1),J_3d(10),J_4p(3),J_total_As
77.4,8.972091744615126e-05,1.0747739542281943e-05,1.6752256564445927e-06,4.192696287131847e-07,6.563683127884354e-08,2.356868449330344e-10,1.275992630871617e-07,3.543565167968463e-09,0.00017944183489230253,2.1495479084563887e-05,2.515617772279108e-06,3.3504513128891855e-06,3.938209876730612e-07,2.551985261743234e-07,2.356868449330344e-09,1.063069550390539e-08,0.0002074653901398353
77.45,8.942787039397423e-05,1.071019208286544e-05,1.6693196015373786e-06,4.17244218557121e-07,6.531727544196488e-08,2.3422383813105374e-10,1.2714879241823555e-07,3.5267536945418347e-09,0.00017885574078794846,2.142038416573088e-05,2.503465311342726e-06,3.338639203074757e-06,3.9190365265178933e-07,2.542975848364711e-07,2.3422383813105376e-09,1.0580261083625505e-08,0.00020677735320505
77.5,8.913591113051883e-05,1.0672795216878289e-05,1.6634374862326205e-06,4.15229744238707e-07,6.499945949276485e-08,2.3277078392113272e-10,1.2670015038694154e-07,3.5100313383428337e-09,0.00017827182226103766,2.1345590433756577e-05,2.491378465432242e-06,3.326874972465241e-06,3.899967569565891e-07,2.534003007738831e-07,2.327707839211327e-09,1.0530094015028501e-08,0.0002060919209922765
77.55000000000001,8.884503516844744e-05,1.0635548265679485e-05,1.65757920133673e-06,4.1322614056989677e-07,6.468337296665397e-08,2.3132760871335697e-10,1.2625332863918987e-07,3.4933975776917644e-09,0.00017769007033689488,2.127109653135897e-05,2.4793568434193806e-06,3.31515840267346e-06,3.881002377999238e-07,2.5250665727837973e-07,2.3132760871335696e-09,1.0480192733075294e-08,0.00020540908247824517
77.60000000000001,8.855523804061888e-05,1.0598450554005943e-05,1.6517446382070944e-06,4.112333427873871e-07,6.436900546787865e-08,2.2989423950514634e-10,1.2580831886311763e-07,3.4768518942498356e-09,0.00017711047608123776,2.1196901108011886e-05,2.467400056724323e-06,3.303489276414189e-06,3.8621403280727193e-07,2.5161663772623525e-07,2.2989423950514634e-09,1.0430555682749507e-08,0.00020472882669099945
77.65,8.826651529999039e-05,1.056150140995413e-05,1.6459336887490348e-06,4.09251286549614e-07,6.405634666902958e-08,2.2847060387622206e-10,1.2536511278885467e-07,3.4603937729958434e-09,0.00017653303059998079,2.112300281990826e-05,2.455507719297684e-06,3.2918673774980697e-06,3.8433808001417746e-07,2.5073022557770934e-07,2.2847060387622208e-09,1.038118131898753e-08,0.00020405114270963444
77.7,8.797886251952086e-05,1.0524700164961907e-05,1.6401462454127989e-06,4.072799079337775e-07,6.37453863105547e-08,2.2705662998361678e-10,1.2492370218829166e-07,3.444022702203074e-09,0.0001759577250390417,2.1049400329923814e-05,2.443679447602665e-06,3.2802924908255978e-06,3.8247231786332816e-07,2.498474043765833e-07,2.2705662998361678e-09,1.0332068106609222e-08,0.00020337601966404018
77.75,8.769227529207416e-05,1.0488046153790434e-05,1.6343822011905628e-06,4.053191434328869e-07,6.343611420027538e-08,2.2565224655675227e-10,1.2448407887485187e-07,3.427738173416626e-09,0.00017538455058414831,2.0976092307580867e-05,2.4319148605973214e-06,3.2687644023811256e-06,3.806166852016523e-07,2.4896815774970375e-07,2.2565224655675225e-09,1.0283214520249878e-08,0.00020270344673464481
77.80000000000001,8.740674923032306e-05,1.0451538714506163e-05,1.6286414496134525e-06,4.033689299528278e-07,6.312852021290663e-08,2.2425738289253198e-10,1.2404623470326133e-07,3.4115396814305677e-09,0.0001748134984606461,2.0903077429012325e-05,2.4202135797169668e-06,3.257282899226905e-06,3.7877112127743975e-07,2.4809246940652267e-07,2.24257382892532e-09,1.0234619044291703e-08,0.0002020334131521595
77.85000000000001,8.71222799666539e-05,1.0415177188463003e-05,1.6229238847485886e-06,4.014292048094548e-07,6.282259428958105e-08,2.2287196885049542e-10,1.2361016156932198e-07,3.3954267242654234e-09,0.0001742445599333078,2.0830354376926006e-05,2.4085752288567285e-06,3.2458477694971773e-06,3.769355657374863e-07,2.4722032313864396e-07,2.2287196885049544e-09,1.018628017279627e-08,0.00020136590819732516
77.9,8.683886315307104e-05,1.0378960920284477e-05,1.6172294011961334e-06,3.994999057257001e-07,6.251832643737575e-08,2.2149593484802272e-10,1.231758514096853e-07,3.379398803145764e-09,0.00017367772630614208,2.0757921840568955e-05,2.3969994343542007e-06,3.234458802392267e-06,3.7510995862425453e-07,2.463517028193706e-07,2.2149593484802274e-09,1.0138196409437291e-08,0.00020070092120065905
77.95,8.655649446110254e-05,1.0342889257846093e-05,1.611557894086372e-06,3.9758097082871005e-07,6.221570672884384e-08,2.2012921185556414e-10,1.2274329620162787e-07,3.3634554224779773e-09,0.0001731129889222051,2.0685778515692185e-05,2.3854858249722605e-06,3.223115788172744e-06,3.7329424037306307e-07,2.4548659240325575e-07,2.201292118555641e-09,1.0090366267433931e-08,0.00020003844154220458
78.0,8.6275169581706e-05,1.0306961552257755e-05,1.6059092590768032e-06,3.956723386470002e-07,6.191472530154905e-08,2.1877173139191945e-10,1.2231248796282826e-07,3.3475960898283903e-09,0.000172550339163412,2.061392310451551e-05,2.374034031882001e-06,3.2118185181536064e-06,3.714883518092943e-07,2.4462497592565653e-07,2.1877173139191943e-09,1.0042788269485171e-08,0.00019937845865128145
78.05000000000001,8.599488422517476e-05,1.0271177157846285e-05,1.6002833923492453e-06,3.9377394810763225e-07,6.161537235760372e-08,2.1742342551956984e-10,1.2188341875114457e-07,3.33182031590126e-09,0.00017198976845034952,2.054235431569257e-05,2.3626436886457933e-06,3.2005667846984906e-06,3.696922341456223e-07,2.4376683750228914e-07,2.1742342551956984e-09,9.99546094770378e-09,0.0001987209620062372
78.10000000000001,8.57156341210451e-05,1.0235535432138096e-05,1.5946801906069684e-06,3.918857385334151e-07,6.131763816321075e-08,2.1608422684005481e-10,1.2145608066439464e-07,3.31612761451712e-09,0.0001714312682420902,2.0471070864276193e-05,2.3513144312004904e-06,3.189360381213937e-06,3.679058289792645e-07,2.429121613287893e-07,2.160842268400548e-09,9.94838284355136e-09,0.00019806594113420085
78.15,8.543741501800304e-05,1.0200035735841866e-05,1.5890995510718287e-06,3.9000764964012136e-07,6.102151304820865e-08,2.147540684893654e-10,1.2103046584013591e-07,3.3005175025911996e-09,0.00017087483003600608,2.0400071471683733e-05,2.340045897840728e-06,3.1781991021436575e-06,3.661290782892519e-07,2.4206093168027183e-07,2.1475406848936542e-09,9.901552507773598e-09,0.00019741338561083638
78.2,8.516022268379242e-05,1.0164677432831405e-05,1.5835413714814343e-06,3.881396215337306e-07,6.072698740562046e-08,2.1343288413340052e-10,1.206065664554477e-07,3.2849895001120806e-09,0.00017032044536758483,2.032935486566281e-05,2.3288377292023837e-06,3.1670827429628685e-06,3.6436192443372275e-07,2.412131329108954e-07,2.134328841334005e-09,9.854968500336242e-09,0.00019676328506009917
78.25,8.488405290512308e-05,1.012945989012858e-05,1.5780055500863186e-06,3.862815947076904e-07,6.043405169120574e-08,2.121206079634725e-10,1.2018437472671368e-07,3.269543130120351e-09,0.00016976810581024616,2.025891978025716e-05,2.3176895682461424e-06,3.156011100172637e-06,3.6260431014723444e-07,2.4036874945342737e-07,2.121206079634725e-09,9.808629390361053e-09,0.00019611562915399275
