volume,volume_name,E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_keV_c,Q_au,Q_absolute_au
3,Volume 3,662.0,256.8487891128088,405.1512108871912,30.0,457.93880534804134,223.1265244357307,59.86149103008834,59.86149103008834
2,Volume 2,662.0,495.24316209742153,166.75683790257847,30.0,340.0812351821769,80.52523360199572,21.603709201099893,21.603709201099893
3,Volume 3,662.0,503.2353538034365,158.7646461965635,30.0,338.3360611686948,70.61939829983841,18.946122557892785,18.946122557892785
3,Volume 3,662.0,627.3285565004246,34.67144349957539,30.0,335.3790873365681,-114.86243459304494,-30.815863848881772,30.815863848881772
3,Volume 3,662.0,562.507790698914,99.49220930108595,30.0,331.17617996430823,-12.073066775067964,-3.2390222555972197,3.2390222555972197
3,Volume 3,662.0,588.3283664608491,73.67163353915089,30.0,331.3405904154153,-52.052447508132076,-13.964888878550637,13.964888878550637
3,Volume 3,662.0,191.64872769348753,470.35127230651244,30.0,505.1984006333507,223.15349376808334,59.868726496381726,59.868726496381726
3,Volume 3,662.0,587.459771575231,74.540228424769,30.0,331.30235360882915,-50.680497272116,-13.596815262226013,13.596815262226013
2,Volume 2,662.0,284.24873033448756,377.75126966551244,30.0,439.4504908173078,219.52992174355515,58.89657661509026,58.89657661509026
3,Volume 3,662.0,513.6078187916378,148.39218120836222,30.0,336.34091220594627,57.28057243869382,15.367516174549902,15.367516174549902
3,Volume 3,662.0,644.1467597449557,17.853240255044284,30.0,338.49522018646604,-142.29595693457966,-38.1758653355922,38.1758653355922
3,Volume 3,662.0,450.55779480524126,211.44220519475874,30.0,353.0280633672196,129.54369592013404,34.754625479595326,34.754625479595326
3,Volume 3,662.0,450.279284472956,211.72071552704398,30.0,353.1250004586822,129.81423745218785,34.827207704121356,34.827207704121356
3,Volume 3,662.0,294.6061021716992,367.3938978283008,30.0,432.70798862840536,217.51431115746922,58.355818606492825,58.355818606492825
3,Volume 3,662.0,320.1676714038831,341.8323285961169,30.0,416.7030594419503,210.8350252002742,56.56386663025347,56.56386663025347
2,Volume 2,662.0,194.67449749743542,467.3255025025646,30.0,502.9164424995101,223.37877272870912,59.92916545367232,59.92916545367232
3,Volume 3,662.0,388.5063669502211,273.4936330497789,30.0,379.0949032330041,179.10758778543598,48.05187230318239,48.05187230318239
3,Volume 3,662.0,237.72024255351783,424.27975744648217,30.0,471.36046875393714,224.27975469104013,60.170885364797826,60.170885364797826
3,Volume 3,662.0,503.30859971766586,158.69140028233414,30.0,338.3208986484812,70.5270954541487,18.921359092485524,18.921359092485524
3,Volume 3,662.0,429.18697808562047,232.81302191437953,30.0,361.01537992177384,149.02800523311356,39.98197265454919,39.98197265454919
