Q,J_1s1/2(2),J_2s1/2(2),J_2p1/2(2),J_2p3/2(4),J_3s1/2(2),J_3p1/2(2),J_3p3/2(4),J_3d3/2(4),J_3d5/2(6),J_4s1/2(2),J_4p1/2(2),J_4p3/2(4),J_4d3/2(4),J_4d5/2(4),J_4f5/2(6),J_4f7/2(8),J_5s1/2(2),J_5p1/2(2),J_5p3/2(4),J_5d3/2(4),J_5d5/2(6),J_6s1/2(2),J_total_Hg_relativistic
2.35,0.009110714581511112,0.03179293724051472,0.01582126039979229,0.01787785566399102,0.06247896936080713,0.04171909568146474,0.045073603288619674,0.02921256512155533,0.029970535172778815,0.07881972110265882,0.08490645625163404,0.08957092390133313,0.0741374857649798,0.0758154165082983,0.06437129925394708,0.06520044199739065,0.032829966986752245,0.06587027700197823,0.052563244040920235,0.06071939402998813,0.05454075941203761,0.006620869565167708,4.206352421651608
2.4000000000000004,0.009109859100596907,0.03175973728870562,0.015821105066805393,0.017877598248766672,0.06211220985317714,0.04170412449145871,0.04505181370553544,0.029212212745694525,0.029970125922860448,0.07679617904398053,0.08436227901640393,0.08882948879263934,0.07400546419082532,0.07566432474544621,0.06430096653614545,0.06512343797745115,0.03184971089865382,0.061684640202850055,0.04868049752880324,0.0567748695000529,0.05079752033978619,0.005983499642396455,4.129479597144366
2.45,0.00910898572899343,0.031725878073600076,0.01582093987959209,0.01787732454365285,0.06174008792493066,0.04168826561749776,0.0450287501438014,0.02921182387326771,0.029969674385764682,0.07479059300621886,0.08379606081074065,0.08806091400405497,0.07386328623507177,0.07550182613245046,0.06422447251288856,0.06503980874782661,0.03104235846323336,0.05770171200232178,0.04505935506754121,0.05303314638908194,0.047265435129944036,0.00541714635051006,4.0562893756900635
2.5,0.00910809447414296,0.03169136202119515,0.015820764439979745,0.017877033895309497,0.06136273520808628,0.04167148948485431,0.0450043719988876,0.029211395681638944,0.029969177305535867,0.07280495231192158,0.08320790937998651,0.08726560819053797,0.07371056665279851,0.07532751390194503,0.06414155432702534,0.0649492852032304,0.030387713352499502,0.05392300098051194,0.0416937890475652,0.04948977204984584,0.043938006707519225,0.004917220556700589,3.986652429564087
2.5500000000000003,0.009107185343638916,0.0316561916020067,0.015820578342935227,0.01787672563955606,0.060980284534482225,0.04165376649254859,0.04497863878723896,0.02921092520700185,0.029968631265136266,0.07084115747008686,0.08259797995448973,0.08644404543122239,0.07354693307994785,0.07514099804372862,0.06405195878465915,0.06485160961156493,0.029866531770144283,0.050348669784791265,0.0385765795215848,0.04613977987432154,0.04080841269519489,0.004478958785980236,3.9204299999505343
2.6,0.00910625834522572,0.0316203693307446,0.015820381176643993,0.01787639910152443,0.06059286985845977,0.04163506704155157,0.04495151019057289,0.029210409341935844,0.029968032683837763,0.06890101829155401,0.0819664745918693,0.08559676315829981,0.07337202765985769,0.07494190707677569,0.06395544351650576,0.06474653678761423,0.029460602536606005,0.046977647096499736,0.03569949617430608,0.042977772301415466,0.03786957889059348,0.0040975216884606746,3.8574759989340692
2.6500000000000004,0.009105313486798652,0.03158389776598251,0.015820172522590405,0.017876053595814193,0.06020062617938228,0.04161536156288721,0.04492294609981824,0.029209844833126625,0.02996737781481292,0.06698625231240193,0.08131364135721736,0.08472435986469587,0.07318550859638943,0.07472988972186687,0.06385177804586781,0.0646338351593253,0.029152807157094163,0.04380774141054271,0.033053470946656026,0.039997997129153154,0.03511424582098619,0.003768076273173507,3.797638934014561
2.7,0.009104350776403708,0.03154677950982244,0.015819951955639296,0.017875688426650136,0.05980368946405348,0.04159462054560538,0.04489290665864535,0.029209228279257267,0.029966662742932613,0.0650984835207862,0.08063977334907607,0.08382749260857406,0.07298705162517317,0.07450461646594003,0.06374074475865321,0.06451328772295403,0.028927161539271763,0.04083575495371394,0.030628760192569292,0.03719441740719057,0.03253502879015159,0.0034858636164818596,3.7407636575836443
2.75,0.009103370222237443,0.03150901720755393,0.01581971904411872,0.017875302888041962,0.059402196569097884,0.041572814564597056,0.044861352306537816,0.02920855612907601,0.029965883382777024,0.06323924138161005,0.07994520757951712,0.0829068743331334,0.07277635139537807,0.07426578101040479,0.06362213977222247,0.06438469288480493,0.02876884106700626,0.03805759629284631,0.02841509558395419,0.03456077519639014,0.03012447181868124,0.0032462536681183668,3.6866929455064046
2.8000000000000003,0.009102371832646828,0.03147061354730824,0.015819473349903922,0.017874896263946158,0.05899628516336601,0.04154991430822388,0.04482824382135793,0.029207824679646423,0.02996503547686624,0.06140996015245611,0.0792303237170774,0.08196327102046468,0.07255312275532842,0.0740131015968207,0.06349577370112253,0.06424786518863773,0.028664190743395934,0.03546839040001496,0.02640182327425779,0.032090649491413374,0.02787509586408107,0.003044788675413006,3.635268910347717
