E0_keV,Eprime_keV,E0_minus_Eprime_keV,theta_deg,q_gamma_keV_c,Q_au,Q_absolute_au
662.0,631.6964408828616,30.303559117138434,30.0,336.11027146910453,-32.72636357959172,32.72636357959172
662.0,610.248895850726,51.751104149274056,30.0,333.0549044871466,-23.374779923844,23.374779923844
662.0,447.20133122112594,214.79866877887406,30.0,354.2091162667468,35.621501921690374,35.621501921690374
662.0,650.7510310120211,11.248968987978856,30.0,339.9386657380969,-41.063627475799485,41.063627475799485
662.0,437.9835510714533,224.0164489285467,30.0,357.59464157235493,37.91415591956674,37.91415591956674
662.0,225.2292040987128,436.7707959012872,30.0,480.3336518817375,60.22704896526595,60.22704896526595
662.0,401.18086192504404,260.81913807495596,30.0,373.0804645426866,45.79568760459531,45.79568760459531
662.0,223.41458419337184,438.58541580662813,30.0,481.65026146051576,60.226173151783506,60.226173151783506
662.0,202.79156635223967,459.20843364776033,30.0,496.8340097596096,60.06487639346501,60.06487639346501
662.0,611.5266946171188,50.47330538288122,30.0,333.19904883751,-23.929077175732562,23.929077175732562
662.0,660.3111569987926,1.688843001207374,30.0,342.2431987814251,-45.232845668826954,45.232845668826954
662.0,192.69259542391507,469.30740457608493,30.0,504.41025798377495,59.89017087784977,59.89017087784977
662.0,624.573991555949,37.426008444051035,30.0,334.9464406303633,-29.612077060433556,29.612077060433556
662.0,645.4514873012292,16.548512698770764,30.0,338.7706670214258,-38.7466903656834,38.7466903656834
662.0,154.6373107546918,507.36268924530816,30.0,533.7104368450691,58.732456271297075,58.732456271297075
662.0,435.25005815579203,226.74994184420797,30.0,358.6380082728286,38.56925180034812,38.56925180034812
662.0,608.9462282393711,53.05377176062893,30.0,332.9129391568972,-22.810213651553113,22.810213651553113
662.0,224.6258382762217,437.3741617237783,30.0,480.77106804027994,60.22700622527812,60.22700622527812
662.0,514.7587434857481,147.24125651425186,30.0,336.13852969315303,14.9616782097025,14.9616782097025
662.0,612.1771145620831,49.82288543791685,30.0,333.2742782328719,-24.211409012583896,24.211409012583896
662.0,169.55471546439793,492.44528453560207,30.0,522.0903894474138,59.27472646705177,59.27472646705177
662.0,545.6177315209703,116.38226847902968,30.0,332.15628284275294,3.479150398136405,3.479150398136405
662.0,241.43694953688066,420.56305046311934,30.0,468.7215981967314,60.13252783020393,60.13252783020393
662.0,426.40073772847603,235.59926227152397,30.0,362.1366922102067,40.61259123007036,40.61259123007036
662.0,160.47657308940225,501.5234269105978,30.0,529.1421943715444,58.95751807551323,58.95751807551323
662.0,227.2000255867377,434.7999744132623,30.0,478.907397838958,60.22545206163179,60.22545206163179
662.0,446.460733666271,215.53926633372902,30.0,354.4734634960614,35.8104715815798,35.8104715815798
662.0,413.7297692108979,248.27023078910207,30.0,367.4594842846147,43.333967963388105,43.333967963388105
662.0,183.48688565870586,478.5131143412941,30.0,511.39235269280346,59.67993900705702,59.67993900705702
662.0,482.941504573101,179.05849542689901,30.0,343.11404985870047,25.51790277647736,25.51790277647736
