event_number,record_index,volume,pdg,pro,E0_keV,Eprime_k_keV,energy_transfer_E0_minus_Eprime_keV
281,3,3,22,2013,662.0,216.26831289679336,445.73168710320664
308,3,3,22,2013,662.0,187.12882412217763,474.87117587782234
314,3,3,22,2013,662.0,627.2116836282194,34.78831637178064
317,2,2,22,2013,662.0,247.5280786109627,414.47192138903733
338,3,3,22,2013,662.0,398.80664752906426,263.19335247093574
358,3,3,22,2013,662.0,222.4624574464466,439.5375425535534
377,3,3,22,2013,662.0,457.76183687080027,204.23816312919973
378,3,3,22,2013,662.0,412.45935172721335,249.54064827278665
387,3,3,22,2013,662.0,261.02455554578967,400.97544445421033
388,2,2,22,2013,662.0,509.65029691704933,152.34970308295067
399,3,3,22,2013,662.0,341.3092840414385,320.6907159585615
412,3,3,22,2013,662.0,495.62296840967343,166.37703159032657
414,3,3,22,2013,662.0,508.16941908945364,153.83058091054636
416,3,3,22,2013,662.0,208.73355027831985,453.26644972168015
418,3,3,22,2013,662.0,246.97538472682368,415.0246152731763
418,4,3,22,2013,662.0,150.25404680250546,511.74595319749454
438,3,3,22,2013,662.0,319.0014906729995,342.9985093270005
439,3,3,22,2013,662.0,225.7995155581154,436.2004844418846
445,3,3,22,2013,662.0,275.88075314523996,386.11924685476004
447,3,3,22,2013,662.0,562.5020080727691,99.49799192723094
451,2,2,22,2013,662.0,526.1714975073069,135.82850249269313
466,3,3,22,2013,662.0,598.7338460256464,63.26615397435364
474,3,3,22,2013,662.0,411.9133240573926,250.08667594260743
474,5,2,22,2013,662.0,318.40965131140183,343.59034868859817
485,3,3,22,2013,662.0,581.3868472326079,80.61315276739208
488,3,3,22,2013,662.0,270.86211966451276,391.13788033548724
491,2,2,22,2013,662.0,509.4942630028374,152.50573699716261
492,3,3,22,2013,662.0,495.9097707294252,166.0902292705748
501,3,3,22,2013,662.0,389.52701034916583,272.47298965083417
515,3,3,22,2013,662.0,492.3119848815571,169.68801511844288
520,3,3,22,2013,662.0,314.83394223714345,347.16605776285655
534,3,3,22,2013,662.0,297.47429881667483,364.52570118332517
541,3,3,22,2013,662.0,274.32746057115315,387.67253942884685
545,3,3,22,2013,662.0,520.8108098438265,141.18919015617348
