event_number,record_index,step_number,vlm,pdg,track_id,E0_keV,Eprime_k_keV,E0_minus_Eprime_keV,px,py,pz,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_au,Q_abs_au
9292,7,7,5,22,1,662.0,0.0,662.0,-0.5003147,-0.86477017,0.04310164,30.14352776,0.86477017,662.0,180.0,48.29129308,48.29129308
9335,7,7,5,22,1,662.0,613.59190351,48.40809649,-0.34349485,-0.93910237,0.00990039,20.09864601,0.93910237,227.63196807,-5.14698857,-1.38085963,1.38085963
9353,7,7,5,22,1,662.0,599.6182128,62.3817872,-0.32928324,-0.91969456,0.21385619,23.11853096,0.91969456,260.08755815,-7.48084878,-2.00699923,2.00699923
9377,7,7,5,22,1,662.0,561.84824582,100.15175418,-0.43197245,-0.86240536,0.26392574,30.41226107,0.86240536,335.23909126,-14.95970458,-4.01346377,4.01346377
9393,7,7,5,22,1,662.0,184.74229975,477.25770025,0.22694875,0.92275386,0.31147965,157.33205771,-0.92275386,835.51074781,-125.86363527,-33.76732055,33.76732055
9393,8,8,5,22,1,662.0,184.74229975,477.25770025,0.22694875,0.92275386,0.31147965,157.33205771,-0.92275386,835.51074781,-125.86363527,-33.76732055,33.76732055
9546,8,8,5,22,1,662.0,0.0,662.0,-0.24101157,-0.94715243,0.21169718,18.71033497,0.94715243,662.0,180.0,48.29129308,48.29129308
9558,7,7,5,22,1,662.0,461.79801221,200.20198779,0.30515436,-0.85181361,-0.4257868,31.5905216,0.85181361,361.50386675,102.24148708,27.42985343,27.42985343
9558,8,8,5,22,1,662.0,364.70809953,297.29190047,-0.45970249,-0.7962594,-0.39324876,37.22562818,0.7962594,432.16132852,135.44584011,36.33808201,36.33808201
9558,9,9,5,22,1,662.0,364.70809953,297.29190047,-0.45970249,-0.7962594,-0.39324876,37.22562818,0.7962594,432.16132852,135.44584011,36.33808201,36.33808201
9559,7,7,5,22,1,662.0,576.15343936,85.84656064,-0.39965276,-0.88498705,0.23890498,27.75007173,0.88498705,308.39038539,-11.94824025,-3.20553317,3.20553317
9612,7,7,5,22,1,662.0,558.1608438,103.8391562,-0.51013051,-0.85639692,0.07969433,31.08559567,0.85639692,341.91513805,-15.76757328,-4.23020279,4.23020279
9621,7,7,5,22,1,662.0,507.69497676,154.30502324,-0.63338479,-0.76539396,0.11399909,40.05794649,0.76539396,426.03924416,-27.94308757,-7.49671017,7.49671017
9882,7,7,5,22,1,662.0,564.59520933,97.40479067,-0.46934173,-0.86683039,0.16829559,29.90762583,0.86683039,330.20475006,-14.36605758,-3.8541972,3.8541972
9974,7,7,5,22,1,662.0,586.77380226,75.22619774,-0.43289802,-0.90103984,-0.02695372,25.70491176,0.90103984,287.29773916,-9.84834905,-2.64216395,2.64216395
9975,7,7,5,22,1,662.0,637.90205989,24.09794011,-0.16041124,-0.97083997,-0.17815156,13.87051558,0.97083997,158.77264556,-1.82858383,-0.49058154,0.49058154
10068,7,7,5,22,1,662.0,652.12971941,9.87028059,-0.12076803,-0.98831692,0.09297719,8.76678002,0.98831692,100.91990729,-0.48256545,-0.12946505,0.12946505
10081,7,7,5,22,1,662.0,477.89815303,184.10184697,-0.38749705,-0.85705682,-0.33955801,31.01228833,0.85705682,352.61728704,90.48498021,24.27575944,24.27575944
10081,8,8,5,22,1,662.0,0.0,662.0,-0.38749705,-0.85705682,-0.33955801,31.01228833,0.85705682,662.0,180.0,48.29129308,48.29129308
10084,7,7,5,22,1,662.0,642.98422849,19.01577151,-0.2066481,-0.97717159,-0.04931778,12.26606056,0.97717159,140.6971094,-1.28488109,-0.34471427,0.34471427
10205,7,7,5,22,1,662.0,604.01139031,57.98860969,-0.3583561,-0.92589295,0.11959583,22.19660899,0.92589295,250.25369437,-6.71828731,-1.80241545,1.80241545
10262,7,7,5,22,1,662.0,622.66008657,39.33991343,-0.20664067,-0.95123094,-0.22904001,17.96763084,0.95123094,204.33534827,-3.78677268,-1.01593416,1.01593416
10280,7,7,5,22,1,662.0,629.61441649,32.38558351,-0.21539521,-0.96029556,-0.17730577,16.19961454,0.96029556,184.78858667,-2.83771698,-0.76131679,0.76131679
10352,6,6,5,22,1,662.0,546.56984019,115.43015981,-0.51813514,-0.83698198,0.17606006,33.17721709,0.83698198,362.34444039,-18.38564177,-4.9325912,4.9325912
10454,7,7,5,22,1,662.0,575.36027405,86.63972595,-0.35396384,-0.88376439,0.3060557,27.90015127,0.88376439,309.92265673,-12.10988141,-3.24889907,3.24889907
10476,7,7,5,22,1,662.0,648.06427056,13.93572944,-0.15479109,-0.98340132,0.09466555,10.45386769,0.98340132,120.15194405,-0.80803593,-0.21678389,0.21678389
10564,7,7,5,22,1,662.0,631.1932644,30.8067356,-0.26767518,-0.96232569,-0.04774162,15.77732168,0.96232569,180.09295261,-2.63471664,-0.70685485,0.70685485
10809,7,7,5,22,1,662.0,504.91437693,157.08562307,-0.64705475,-0.75985105,-0.06282136,40.54893117,0.75985105,430.36851337,-28.66793197,-7.69117503,7.69117503
10831,7,7,5,22,1,662.0,573.53585311,88.46414689,-0.4180084,-0.88093922,-0.22184468,28.2441301,0.88093922,313.42633993,-12.48413333,-3.34930523,3.34930523
10897,7,7,5,22,1,662.0,620.65160665,41.34839335,-0.19112291,-0.94857518,-0.25234332,18.4545273,0.94857518,209.68466204,-4.07659644,-1.09368952,1.09368952
10902,7,7,5,22,1,662.0,563.49629511,98.50370489,-0.48916665,-0.86506535,0.11125613,30.10983172,0.86506535,332.22515187,-14.60269502,-3.91768347,3.91768347
10940,7,7,5,22,1,662.0,647.3918341,14.6081659,-0.14603387,-0.98258231,0.11491782,10.70940271,0.98258231,123.05654071,-0.86694565,-0.23258848,0.23258848
