event_number,track_id,record_index,step_number,vlm,pdg,E0_keV,Eprime_k_keV,Et_E0_minus_Eprime_keV,stored_et_keV,theta_deg,cos_theta,q_gamma_keV_c,Q_keV_c,Q_signed_au,Q_absolute_au,px,py,pz
86069,1,7,7,4,22,662.0,622.38603,39.61397,,18.034629,0.95087,205.072324,-3.825919,-1.026437,1.026437,0.292812,-0.95087,0.100541
86126,1,7,7,4,22,662.0,422.811554,239.188446,,29.550002,0.869926,360.592669,158.660352,42.566186,42.566186,0.106413,-0.869926,-0.481566
86136,1,7,7,4,22,662.0,528.948361,133.051639,,36.30894,0.805836,392.021969,-22.578389,-6.057442,6.057442,0.564309,-0.805836,0.1794
86325,1,7,7,4,22,662.0,188.313307,473.686693,,74.334934,0.270013,637.482794,60.961244,16.354985,16.354985,-0.74425,-0.270013,-0.610888
86395,1,7,7,4,22,662.0,440.922899,221.077101,,65.782963,0.410194,627.051056,-133.364124,-35.779589,35.779589,0.911573,-0.410194,-0.027841
86459,1,7,7,4,22,662.0,609.04276,52.95724,,21.111395,0.932882,238.593071,-5.876855,-1.576672,1.576672,0.334852,-0.932882,0.132685
86480,1,7,7,4,22,662.0,504.446788,157.553212,,40.631541,0.758913,431.09402,-28.790322,-7.72401,7.72401,0.54716,-0.758913,-0.353081
86605,1,7,7,4,22,662.0,413.426644,248.573356,,52.812716,0.604422,527.559272,-23.008614,-6.172865,6.172865,0.49802,-0.604422,-0.621812
86690,1,6,6,4,22,662.0,452.224692,209.775308,,58.502568,0.52246,574.395676,-100.575294,-26.982839,26.982839,0.791408,-0.52246,-0.317347
86820,1,7,7,4,22,662.0,626.173783,35.826217,,17.091615,0.955836,194.673658,-3.296388,-0.884371,0.884371,0.271243,-0.955836,0.113158
86907,1,7,7,4,22,662.0,589.724008,72.275992,,25.123263,0.905396,281.228955,-9.287204,-2.491617,2.491617,0.34052,-0.905396,0.253581
86927,1,7,7,4,22,662.0,256.407992,405.592008,,101.563841,-0.20046,756.334549,-104.138386,-27.938763,27.938763,-0.10898,0.20046,0.973622
86963,1,7,7,4,22,662.0,610.400303,51.599697,,20.812543,0.934748,235.366323,-5.655899,-1.517393,1.517393,0.352171,-0.934748,-0.04714
87006,1,8,8,4,22,662.0,303.621586,358.378414,,11.445807,0.980113,369.363814,311.120233,83.46888,83.46888,-0.18383,-0.980113,-0.074736
87259,1,7,7,4,22,662.0,620.283833,41.716167,,18.542681,0.948087,210.651537,-4.130394,-1.108123,1.108123,0.310422,-0.948087,-0.06906
87464,1,6,6,4,22,662.0,501.479428,160.520572,,46.224648,0.691833,479.976339,-69.09222,-18.536404,18.536404,0.376669,-0.691833,-0.616026
87493,1,7,7,4,22,662.0,567.275072,94.724928,,29.412576,0.871106,325.240651,-13.793794,-3.700668,3.700668,0.457282,-0.871106,0.179074
87512,1,7,7,4,22,662.0,627.33087,34.66913,,16.79569,0.957341,191.399385,-3.139699,-0.842334,0.842334,0.263613,-0.957341,-0.118347
87593,1,7,7,4,22,662.0,599.069187,62.930813,,23.232238,0.918914,261.295696,-7.577909,-2.033039,2.033039,0.309447,-0.918914,-0.244624
87708,1,7,7,4,22,662.0,409.636344,252.363656,,40.411632,0.761407,439.420663,73.762049,19.789249,19.789249,0.271653,-0.761407,0.588612
87718,1,7,7,4,22,662.0,592.334169,69.665831,,24.602932,0.909215,275.774647,-8.79917,-2.360685,2.360685,0.414661,-0.909215,0.037215
87790,1,7,7,4,22,662.0,598.796717,63.203283,,23.288551,0.918525,261.893629,-7.626221,-2.046,2.046,0.383893,-0.918525,0.094538
88150,1,7,7,4,22,662.0,503.192105,158.807895,,40.853279,0.756387,433.037262,-29.119436,-7.812307,7.812307,0.646536,-0.756387,-0.099347
88199,1,7,7,4,22,662.0,182.28676,479.71324,,99.628527,-0.16726,715.430074,-15.077126,-4.044966,4.044966,-0.91623,0.16726,-0.364071
88291,1,7,7,4,22,662.0,627.15161,34.84839,,16.841794,0.957108,191.909845,-3.163815,-0.848804,0.848804,0.280389,-0.957108,0.072974
88441,1,7,7,4,22,662.0,606.742224,55.257776,,21.611797,0.929701,243.981042,-6.257251,-1.678726,1.678726,0.356465,-0.929701,-0.092679
88906,1,7,7,4,22,662.0,558.810112,103.189888,,30.967354,0.857461,340.746231,-15.624425,-4.191798,4.191798,0.494854,-0.857461,0.140999
88977,1,7,7,4,22,662.0,477.86336,184.13664,,57.258541,0.540849,569.567373,-119.581416,-32.081896,32.081896,0.80371,-0.540849,-0.248058
