volume,theta_bin_left_deg,theta_bin_right_deg,theta_bin_center_deg,counts,mean_theta_deg,std_theta_deg,mean_Eprime_keV,std_Eprime_keV,mean_Et_keV,std_Et_keV,mean_qc_keV_c,std_qc_keV_c,mean_Q_keV_c,std_Q_keV_c,mean_Q_au,std_Q_au,mean_Abs_Q_au,std_Abs_Q_au
2,110.0,112.0,111.0,17,111.11165802615145,0.568866578371705,226.6584804481838,45.90852612671981,435.3415195518162,45.90852612671981,773.883415786106,26.372621929249526,-98.15988342062634,54.55056272648284,-26.334820549722952,14.635095623865242,27.23394735358957,12.767560031411744
2,112.0,114.0,113.0,19,113.20329569252475,0.525882321925538,235.4815634992816,2.2849084380042024,426.5184365007184,2.2849084380042046,785.1876370416076,1.5527343066240205,-115.0141767017356,2.3402631760532087,-30.856573974678074,0.6278574162154666,30.856573974678074,0.6278574162154666
2,114.0,116.0,115.0,19,114.81551253891197,0.5082419195543558,237.2064028817719,22.890838181080756,424.7935971182281,22.890838181080774,791.5606348272221,14.933401814191754,-121.2038265703066,26.953093490478295,-32.51716395170511,7.231109650874956,32.51716395170511,7.231109650874956
2,116.0,118.0,117.0,14,117.0785485912777,0.5671810827333603,224.03139463536698,23.281223225887867,437.968605364633,23.281223225887867,789.704504449546,14.261568741952754,-111.09545566698213,28.505479432100454,-29.8052400525254,7.647591453541215,29.8052400525254,7.647591453541215
2,118.0,120.0,119.0,17,119.09067741726157,0.5207015874824876,219.7134489725474,22.131903307974177,442.2865510274526,22.131903307974188,792.5941937593583,14.616153290539634,-110.78781053945399,28.078630743975882,-29.722703491314004,7.533074369658013,29.722703491314004,7.533074369658013
2,120.0,122.0,121.0,10,120.86644326691639,0.7089126016602565,219.00946427947457,17.343388877572384,442.99053572052543,17.343388877572387,796.9740098783245,12.617650248162228,-114.22356827806304,22.482350457852853,-30.64446562412822,6.031676528245806,30.64446562412822,6.031676528245806
2,122.0,124.0,123.0,11,122.99227261133962,0.5007615686004553,223.51713566946472,9.430896885357082,438.4828643305353,9.430896885357091,805.8531638816432,7.476141661428328,-124.8108318149534,12.044714883656622,-33.484869215093006,3.231415869499922,33.484869215093006,3.231415869499922
2,124.0,126.0,125.0,10,124.71934259395746,0.601083075406606,209.70015900295593,18.974893200456396,452.29984099704404,18.97489320045641,800.3419899637881,14.19180944116884,-111.10532625787373,24.87775626279997,-29.807888183623277,6.674327882534106,29.807888183623277,6.674327882534106
2,126.0,128.0,127.0,13,126.86223683190377,0.5596385415370335,212.08400637909884,11.957364035112041,449.91599362090113,11.957364035112043,807.3076850862087,9.263644414897568,-118.75386880949765,15.820603531787828,-31.859877128035684,4.244430010298877,31.859877128035684,4.244430010298877
2,128.0,130.0,129.0,14,129.04609830848057,0.49569835900498743,209.66797385845214,11.412973660040523,452.33202614154783,11.412973660040523,810.6137197536954,8.445052992500873,-120.06228388603805,14.70769262816964,-32.210905216543,3.945852751307791,32.210905216543,3.945852751307791
2,130.0,132.0,131.0,8,130.9100091107134,0.6415199973427267,210.57246464685915,0.7315527729210161,451.42753535314085,0.7315527729210329,815.563972318657,0.863231790804469,-124.93614651227865,0.27270451959555014,-33.518489263847165,0.0731625215555011,33.518489263847165,0.0731625215555011
2,132.0,134.0,133.0,17,132.8719382507292,0.6513207848606631,207.37306226166993,8.88951429869346,454.62693773833007,8.88951429869347,817.328921044615,6.5865429901967865,-124.36895532306738,11.25426147706203,-33.366320397455425,3.0193491077008594,33.366320397455425,3.0193491077008594
2,134.0,136.0,135.0,24,134.84093368740653,0.5184270839121304,206.2975776845901,0.533472005029925,455.70242231540993,0.5334720050299316,820.6043347062669,0.6284347844649029,-126.53156038591293,0.19935463118682503,-33.94651481359907,0.053483849563720536,33.94651481359907,0.053483849563720536
2,136.0,138.0,137.0,15,136.80850291681284,0.515654457582827,204.9494465145336,2.4682059581115117,457.0505534854664,2.4682059581115072,823.4525863432332,2.1215015487281557,-128.0955799599614,3.207243167214327,-34.36611774489358,0.8604551098128772,34.36611774489358,0.8604551098128772
2,138.0,140.0,139.0,20,138.82299724254653,0.6501548084307316,200.22384772661135,16.524495757237055,461.7761522733887,16.524495757237055,823.3663157016829,13.999947323122079,-124.8480427049121,22.297402440406064,-33.494852337275006,5.982057756495465,33.494852337275006,5.982057756495465
2,140.0,142.0,141.0,13,140.99947463464085,0.7748281807378965,196.69847336360272,14.090587634565273,465.3015266363973,14.090587634565248,824.1938773662752,11.567733177393714,-123.44130805356912,18.88211348052041,-33.117446585421696,5.065787089194125,33.117446585421696,5.065787089194125
2,142.0,144.0,143.0,9,143.1007945095579,0.700732347766685,200.25031033543888,16.007009375613098,461.7496896645611,16.007009375613105,830.8901455250963,13.851579129446547,-131.25077367068343,21.620411729484232,-35.21260876827247,5.800431329642866,35.21260876827247,5.800431329642866
2,144.0,146.0,145.0,14,145.05519360478735,0.5862187621390378,197.17858867405403,0.4452272917053736,464.821411325946,0.44522729170536635,831.327458917958,0.522606071096085,-129.94814899042547,0.16725185052138303,-34.86313415600917,0.044871156287093775,34.86313415600917,0.044871156287093775
2,146.0,148.0,147.0,12,146.9787914271626,0.5642237840582157,194.87034809981242,3.535944910141783,467.1296519001876,3.5359449101417884,832.1879126633503,3.039897616219816,-129.24575029000707,4.730501116693288,-34.674691147671304,1.269122310226831,34.674691147671304,1.269122310226831
